MSW_Order,MSW_Binomial,ActivityCycle,AgeatEyeOpening_d,AgeatFirstBirth_d,BasalMetRate_mLOhr,DietBreadth,DispersalAge_d,GestationLen_d,HabitatBreadth,HomeRange_km,HomeRange_Indiv_km,InterbirthInterval_d,LitterSize,LittersPerYear,MaxLongevity_m,PopulationDensity_n_km,PopulationGrpSize,SexualMaturityAge_d,SocialGrpSize,TeatNumber,Terrestriality,TrophicLevel,WeaningAge_d,AdultBodyMass_g_EXT,LittersPerYear_EXT,NeonateBodyMass_g_EXT,WeaningBodyMass_g_EXT,GR_Area_km,GR_MaxLat_dd,GR_MinLat_dd,GR_MidRangeLat_dd,GR_MaxLong_dd,GR_MinLong_dd,GR_MidRangeLong_dd,HuPopDen_Mean_n_km,HuPopDen_Change,ref_count
Rodentia,Ctenomys frater,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,5398.92,-19.22,-19.95,-19.59,-65.25,-66.07,-65.66,21.68,0.13,3
Rodentia,Ctenomys fulvus,NA,NA,NA,189,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
Rodentia,Ctenomys goodfellowi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21761.32,-15.76,-18.09,-16.93,-61.29,-63.06,-62.17,7.14,0.29,NA
Rodentia,Ctenomys haigi,NA,NA,NA,NA,NA,NA,NA,2,3.29744e-5,2.59929e-5,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,25958.86,-39.61,-43.17,-41.39,-69.61,-71.72,-70.67,2.65,0.12,3
Rodentia,Ctenomys johannis,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Rodentia,Ctenomys juris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Ctenomys knighti,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,20864.38,-25.96,-29.02,-27.49,-65.37,-67.22,-66.3,19.78,0.08,1
Rodentia,Ctenomys lami,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Ctenomys latro,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,19561.91,-24.98,-26.87,-25.92,-64.17,-65.92,-65.05,28.14,0.12,2
Rodentia,Ctenomys leucodon,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,52340.92,-14.8,-17.05,-15.92,-67.79,-71.01,-69.4,30.92,0.06,2
Rodentia,Ctenomys lewisi,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,8824.32,-21,-22.09,-21.55,-64.64,-65.5,-65.07,12.57,0.15,3
Rodentia,Ctenomys magellanicus,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,106225.77,-43.69,-54.24,-48.96,-65.21,-73.37,-69.29,1.3,0.26,4
Rodentia,Ctenomys maulinus,NA,NA,NA,187.05,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,51536,-35.04,-41.51,-38.28,-70.41,-72.4,-71.4,15.09,0.08,4
Rodentia,Ctenomys mendocinus,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Rodentia,Ctenomys minutus,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,108713.49,-16.51,-19.64,-18.08,-55.42,-59.9,-57.66,1.45,0.12,3
Rodentia,Ctenomys occultus,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,4611.74,-26.9,-27.74,-27.32,-65.02,-65.79,-65.4,65.85,0.08,1
Rodentia,Ctenomys opimus,3,NA,NA,NA,3,NA,60.83,2,NA,NA,NA,2,1,NA,233.87,NA,365,NA,NA,1,1,NA,NA,NA,NA,NA,344662.55,-15.4,-26.55,-20.97,-65.2,-71.24,-68.22,12.56,0.06,6
Rodentia,Ctenomys osvaldoreigi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Ctenomys pearsoni,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,46304.08,-33.01,-34.97,-33.99,-53.41,-58.43,-55.92,45.05,0.06,2
Rodentia,Ctenomys perrensi,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,77423.01,-26,-32.36,-29.18,-53.77,-59.04,-56.4,16.62,0.08,1
Rodentia,Ctenomys peruanus,NA,NA,NA,220.5,3,NA,120.83,2,NA,NA,NA,3,1,NA,3720.24,NA,365,NA,NA,1,1,NA,NA,NA,NA,NA,55816.24,-13.9,-17.76,-15.83,-69.13,-70.95,-70.04,18.21,0.07,6
Rodentia,Ctenomys pilarensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Ctenomys pontifex,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,30540.4,-32.41,-35.07,-33.74,-68.01,-69.5,-68.76,22.35,0.08,1
Rodentia,Ctenomys porteousi,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,46290.24,-36.29,-38.01,-37.15,-60.86,-64.32,-62.59,5.07,0.07,1
Rodentia,Ctenomys pundti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Ctenomys rionegrensis,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,24759.25,-31.07,-34.19,-32.63,-57.69,-59.43,-58.56,35.05,0.03,0
Rodentia,Ctenomys roigi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Ctenomys saltarius,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,54806.9,-22.9,-26.16,-24.53,-64.19,-66.7,-65.44,13.59,0.13,2
Rodentia,Ctenomys scagliai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Ctenomys sericeus,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,237955.24,-40.23,-48.99,-44.61,-64.84,-71.81,-68.33,1.51,0.07,1
Rodentia,Ctenomys sociabilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976.67,-40.35,-41.3,-40.82,-70.78,-71.11,-70.95,3.49,0.08,0
Rodentia,Ctenomys steinbachi,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,19311.11,-16.22,-18.34,-17.28,-62.48,-64.14,-63.31,26.09,0.04,3
Rodentia,Ctenomys sylvanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33278.04,-21.04,-23.69,-22.36,-63.07,-65.27,-64.17,8.31,0.13,NA
Rodentia,Ctenomys talarum,1,2.5,NA,NA,4,NA,102.67,1,2.0373e-5,1.87442e-5,NA,4.34,1.5,36,5187.48,NA,213.2,1,NA,1,1,34.8,NA,NA,NA,NA,216393.6,-34.86,-39.01,-36.93,-56.66,-64.15,-60.4,70.89,0.06,15
Rodentia,Ctenomys torquatus,3,NA,NA,NA,3,NA,107,2,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,459331.26,-27.18,-34.97,-31.08,-51.11,-59.82,-55.46,25.93,0.05,4
Rodentia,Ctenomys tuconax,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2421.97,-26.78,-27.54,-27.16,-65.4,-65.83,-65.61,77.16,0.07,1
Rodentia,Ctenomys tucumanus,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,5165.21,-26.35,-27.57,-26.96,-65.04,-65.68,-65.36,57.09,0.1,1
Rodentia,Ctenomys tulduco,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Rodentia,Ctenomys validus,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,3491.05,-33.03,-33.72,-33.37,-68.21,-68.86,-68.53,19.04,0.04,1
Rodentia,Ctenomys viperinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Ctenomys yolandae,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Rodentia,Cuniculus paca,1,0,NA,2746.8,5,NA,116.24,2,NA,NA,191,1.01,1.75,192,48.71,NA,335.48,1,8,1,1,82.75,NA,NA,NA,NA,12381979.8,22.4,-30.12,-3.86,-36.57,-99.6,-68.08,23.54,0.12,9
Rodentia,Cuniculus taczanowskii,1,NA,NA,NA,4,NA,NA,2,NA,NA,NA,1,2,NA,NA,NA,NA,NA,8,1,1,NA,NA,NA,NA,NA,392199.69,9.8,-14.53,-2.36,-68.94,-80.13,-74.54,48.14,0.1,2
Carnivora,Cuon alpinus,2,14.01,NA,NA,1,210,61.5,1,33.64,39.99,365,4.3,NA,192,0.55,NA,374.18,NA,14,1,3,57.33,NA,1.1,NA,NA,10546280.1,55.54,-8.78,23.37,141.54,71.5,106.52,145,0.06,7
Rodentia,Cuscomys ashaninka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rodentia,Cuscomys oblativa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pilosa,Cyclopes didactylus,1,NA,NA,114.48,1,NA,160,1,0.03,0.04,NA,1,NA,27.6,32.4,NA,NA,1,NA,2,3,NA,NA,NA,NA,NA,7292625.62,19.6,-13.94,2.82,-35.88,-96.68,-66.28,21.08,0.12,15
Carnivora,Cynictis penicillata,3,NA,NA,NA,1,365,56.83,1,1.89,2,365,2.15,NA,182.4,NA,NA,350.57,NA,6,1,3,41.76,NA,1.1,NA,NA,2233627.48,-16.73,-34.68,-25.71,31.47,12.62,22.04,15.27,0.09,4
Dermoptera,Cynocephalus volans,2,NA,NA,NA,4,NA,62.57,1,0.07,0.07,NA,1,NA,NA,NA,NA,NA,NA,4,2,1,198.5,NA,NA,NA,NA,120788.3,12.58,5.55,9.07,126.6,121.75,124.17,172.57,0.11,7
Carnivora,Cynogale bennettii,2,NA,NA,NA,6,NA,NA,2,NA,NA,NA,2.3,NA,60,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,170977.09,6.39,-4.29,1.05,117.99,98.18,108.08,60.48,0.15,4
Chiroptera,Cynomops abrasus,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,10368632.82,9.58,-29.9,-10.15,-34.79,-79.05,-56.92,10.2,0.12,6
Chiroptera,Cynomops greenhalli,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,1848057.21,12.46,-10.41,1.02,-34.79,-80.1,-57.45,52.15,0.1,5
Chiroptera,Cynomops mexicanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552617.08,20.04,7.2,13.62,-79.99,-105.41,-92.7,60.5,0.12,NA
Chiroptera,Cynomops paranus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11408256.94,12.46,-29.32,-8.43,-34.79,-80.93,-57.86,15.9,0.11,0
Chiroptera,Cynomops planirostris,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,11408256.94,12.46,-29.32,-8.43,-34.79,-80.93,-57.86,15.9,0.11,6
Rodentia,Cynomys gunnisoni,3,NA,NA,NA,5,NA,29.64,2,0.007188295,NA,NA,4.48,1,NA,669.1,75,395.29,5.65,10,1,2,36.65,NA,NA,NA,NA,309978.76,39.75,32.97,36.36,-104.65,-113.2,-108.93,10.66,0.12,10
Rodentia,Cynomys leucurus,3,NA,NA,NA,1,NA,30.39,2,0.05,0.05,NA,5.4,1,NA,546.43,NA,413.84,NA,NA,1,1,31.76,NA,NA,NA,NA,269822.59,45.32,37.86,41.59,-104.96,-112.1,-108.53,3.48,0.09,9
Rodentia,Cynomys ludovicianus,3,32,NA,422.67,4,524.89,33.46,2,0.001787394,0.002137265,NA,4.43,1,102,1830,5,696.9,6.13,8,1,1,45.57,NA,NA,NA,NA,1823313.42,49.39,29.1,39.25,-96.06,-113.54,-104.8,8.1,0.05,19
Rodentia,Cynomys mexicanus,3,34.75,NA,NA,2,NA,30.41,2,NA,NA,NA,4.18,1,NA,NA,NA,NA,NA,8,1,1,46.35,NA,NA,NA,NA,586.55,25.2,24.38,24.79,-100.09,-101.29,-100.69,32.29,0.11,5
Rodentia,Cynomys parvidens,3,NA,NA,NA,1,NA,NA,2,NA,NA,NA,4.89,1,NA,3824.99,NA,371.23,NA,10,1,1,NA,NA,NA,NA,NA,24425.78,39.42,37.55,38.49,-110.74,-113.75,-112.24,1.61,0.11,3
Chiroptera,Cynopterus brachyotis,NA,NA,NA,47.49,3,NA,117.06,1,NA,NA,NA,0.99,2,96,NA,NA,251.71,NA,NA,2,1,48.99,NA,NA,NA,NA,2220429.06,27.65,-4.18,11.73,126.6,74.37,100.48,190.51,0.12,23
Chiroptera,Cynopterus horsfieldii,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1048657.06,14.54,-8.78,2.88,117.74,95.18,106.46,192.4,0.12,8
Chiroptera,Cynopterus luzoniensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170486.35,1.75,-5.7,-1.97,125.24,118.75,121.99,96.75,0.08,NA
Chiroptera,Cynopterus minutus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1467026.28,7.03,-8.78,-0.87,125.24,95.18,110.21,138.87,0.14,0
Chiroptera,Cynopterus nusatenggara,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,51558.74,-7.55,-10.32,-8.93,126.84,114.43,120.63,143.51,0.06,0
Chiroptera,Cynopterus sphinx,NA,0,319.37,NA,2,NA,120,1,NA,NA,NA,1.5,2,NA,NA,4,312.99,1,NA,2,1,32.49,NA,NA,NA,NA,5648557.98,33.2,-5.94,13.63,119.33,67.57,93.45,242.36,0.09,24
Chiroptera,Cynopterus titthaecheilus,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,592527.99,5.65,-10.37,-2.35,127.3,95.18,111.24,274.42,0.11,4
Carnivora,Cystophora cristata,NA,0,1387,62991,6,NA,334.58,2,NA,NA,365,1,NA,420,0.004822132,NA,1262.74,NA,NA,1,2,9.5,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Chiroptera,Cyttarops alecto,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,581976.9,12.55,-5.22,3.66,-47.41,-84.42,-65.92,4.07,0.1,4
Rodentia,Dacnomys millardi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263125.32,29,20.98,24.99,104.06,94.78,99.42,59.28,0.09,NA
Rodentia,Dactylomys boliviensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642946.43,-9.26,-17.37,-13.31,-63.58,-74.36,-68.97,6.92,0.16,0
Rodentia,Dactylomys dactylinus,1,NA,NA,NA,2,NA,NA,1,0.001669342,0.001855271,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,2786239.5,4.06,-17.47,-6.7,-53.95,-78.9,-66.42,3.47,0.12,3
Rodentia,Dactylomys peruanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74745.24,-11.53,-14.05,-12.79,-70.35,-74.13,-72.24,12.74,0.1,0
Diprotodontia,Dactylopsila megalura,1,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,314.67,NA,NA,NA,11955.72,-3.57,-5.53,-4.55,142.02,135.67,138.84,3.91,0.13,4
Diprotodontia,Dactylopsila palpator,1,NA,NA,NA,7,NA,NA,2,NA,NA,NA,1.02,NA,NA,NA,NA,NA,2.75,2,2,2,NA,NA,NA,NA,NA,210628.5,-1.04,-10.19,-5.61,149.74,133.73,141.73,10.28,0.13,8
Diprotodontia,Dactylopsila tatei,1,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,231.26,-9.34,-9.5,-9.42,150.62,150.44,150.53,12,0.09,3
