host,hostOrder,parasite,parType,banesh,brook,eid,gmpd,nhml,oli
Homo sapiens,Primates,Abbreviata caucasica,helminth,1,0,0,0,0,0
Cyprinus carpio,Cypriniformes,Acanthocephalus dirus,helminth,1,0,0,0,1,0
Esox lucius,Esociformes,Acanthocephalus lucii,helminth,1,0,0,0,1,0
Passer domesticus,Passeriformes,Acuaria subula,helminth,1,0,0,0,0,0
Mustela erminea,Carnivora,Aelurostrongylus pridhami,helminth,1,0,0,0,0,0
Anas platyrhynchos,Anseriformes,Allodapa suctoria,helminth,1,0,0,0,0,0
Anas platyrhynchos,Anseriformes,Amidostomum acutum,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Amidostomum anseris,helminth,1,0,0,0,1,0
Anser anser,Anseriformes,Amidostomum anseris,helminth,1,0,0,0,1,0
Homo sapiens,Primates,Angiostrongylus cantonensis,helminth,1,0,1,0,0,0
Homo sapiens,Primates,Angiostrongylus costaricensis,helminth,1,0,1,0,0,0
Physeter macrocephalus,Artiodactyla,Anisakis physeteris,helminth,1,0,0,0,1,0
Cervus elaphus,Artiodactyla,Aonchotheca bovis,helminth,1,0,0,0,1,0
Martes pennanti,Carnivora,Aonchotheca putorii,helminth,1,0,0,0,0,0
Mustela erminea,Carnivora,Aonchotheca putorii,helminth,1,0,0,0,0,0
Anas platyrhynchos,Anseriformes,Aploparaksis furcigera,helminth,1,0,0,0,1,0
Cyprinus carpio,Cypriniformes,Archigetes iowensis,helminth,1,0,0,0,0,0
Cyprinus carpio,Cypriniformes,Archigetes sieboldi,helminth,1,0,0,0,1,0
Homo sapiens,Primates,Ascaris lumbricoides,helminth,1,0,1,0,0,0
Homo sapiens,Primates,Ascaris suum,helminth,1,0,1,0,0,0
Cyprinus carpio,Cypriniformes,Atractolytocestus sagittatus,helminth,1,0,0,0,0,0
Anas platyrhynchos,Anseriformes,Avioserpens galliardi,helminth,1,0,0,0,0,0
Anas platyrhynchos,Anseriformes,Avioserpens mosgovoyi,helminth,1,0,0,0,0,0
Anas platyrhynchos,Anseriformes,Avioserpens taiwana,helminth,1,0,0,0,0,0
Rangifer tarandus,Artiodactyla,Avitellina arctica,helminth,1,0,0,0,1,0
Martes pennanti,Carnivora,Baylisascaris devosi,helminth,1,0,0,1,1,0
Ursus americanus,Carnivora,Baylisascaris transfuga,helminth,1,0,1,1,1,0
Ursus maritimus,Carnivora,Baylisascaris transfuga,helminth,1,0,1,1,1,0
Homo sapiens,Primates,Bertiella mucronata,helminth,1,0,1,0,0,0
Homo sapiens,Primates,Bertiella studeri,helminth,1,0,1,0,0,0
Macaca mulatta,Primates,Bertiella studeri,helminth,1,0,1,1,1,0
Pan troglodytes,Primates,Bertiella studeri,helminth,1,0,1,1,1,0
Cyprinus carpio,Cypriniformes,Bothriocephalus acheilognathi,helminth,1,0,1,0,1,0
Esox lucius,Esociformes,Bothriocephalus cuspidatus,helminth,1,0,0,0,1,0
Esox lucius,Esociformes,Camallanus lacustris,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Capillaria anatis,helminth,1,0,0,0,1,0
Anser anser,Anseriformes,Capillaria anatis,helminth,1,0,0,0,1,0
Cyprinus carpio,Cypriniformes,Caryophyllaeus laticeps,helminth,1,0,0,0,1,0
Haliaeetus albicilla,Accipitriformes,Centrorhynchus aluconis,helminth,1,0,0,0,1,0
Milvus migrans,Accipitriformes,Centrorhynchus milvus,helminth,1,0,0,0,1,0
Bonasa umbellus,Galliformes,Cheilospirura spinosa,helminth,1,0,0,0,1,0
Falco peregrinus,Falconiformes,Cladotaenia circi,helminth,1,0,0,0,1,0
Pernis apivorus,Accipitriformes,Cladotaenia globifera,helminth,1,0,0,0,0,0
Anas fulvigula,Anseriformes,Cloacotaenia megalops,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Cloacotaenia megalops,helminth,1,0,0,0,1,0
Phalacrocorax auritus,Pelecaniformes,Contracaecum multipapillatum,helminth,1,0,0,0,1,0
Thalassarche melanophris,Procellariiformes,Contracaecum pelagicum,helminth,1,0,0,0,0,0
Phalacrocorax auritus,Pelecaniformes,Contracaecum rudolphii,helminth,1,0,1,0,1,0
Arctocephalus australis,Carnivora,Corynosoma australe,helminth,1,0,0,1,1,0
Mirounga leonina,Carnivora,Corynosoma bullosum,helminth,1,0,0,0,1,0
Mustela erminea,Carnivora,Crenosoma petrowi,helminth,1,0,0,0,0,0
Ursus americanus,Carnivora,Crenosoma petrowi,helminth,1,0,0,0,1,0
Canis lupus,Carnivora,Crenosoma vulpis,helminth,1,0,0,1,1,0
Ursus americanus,Carnivora,Crenosoma vulpis,helminth,1,0,0,1,1,0
Anas platyrhynchos,Anseriformes,Cyathostoma bronchialis,helminth,1,0,0,0,0,0
Anser anser,Anseriformes,Cyathostoma bronchialis,helminth,1,0,0,0,0,0
Phalacrocorax auritus,Pelecaniformes,Cyclustera ibisae,helminth,1,0,0,0,1,0
Milvus migrans,Accipitriformes,Cyrnea mansioni,helminth,1,0,0,0,0,0
Oncorhynchus tshawytscha,Salmoniformes,Cystidicola farionis,helminth,1,0,0,0,1,0
Bonasa umbellus,Galliformes,Davainea tetraoensis,helminth,1,0,0,0,0,0
Anas fulvigula,Anseriformes,Dicranotaenia coronula,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Dicranotaenia coronula,helminth,1,0,0,0,1,0
Anser anser,Anseriformes,Dicranotaenia coronula,helminth,1,0,0,0,1,0
Alces alces,Artiodactyla,Dictyocaulus eckerti,helminth,1,0,1,1,1,0
Cervus elaphus,Artiodactyla,Dictyocaulus eckerti,helminth,1,0,1,1,1,0
Cervus elaphus,Artiodactyla,Dictyocaulus viviparus,helminth,1,0,1,1,1,0
Canis lupus,Carnivora,Dioctophyma renale,helminth,1,0,0,1,0,0
Homo sapiens,Primates,Dioctophyma renale,helminth,1,0,0,0,0,0
Anas platyrhynchos,Anseriformes,Diorchis asiatica,helminth,1,0,0,0,1,0
Anas fulvigula,Anseriformes,Diorchis bulbodes,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Diorchis bulbodes,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Diorchis nyrocae,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Diorchis parvogenitalis,helminth,1,0,0,0,1,0
Homo sapiens,Primates,Diphyllobothrium dendriticum,helminth,1,0,1,0,0,0
Sterna hirundo,Charadriiformes,Diphyllobothrium dendriticum,helminth,1,0,1,0,1,0
Ursus americanus,Carnivora,Diphyllobothrium dendriticum,helminth,1,0,1,0,1,0
Gavia immer,Gaviiformes,Diphyllobothrium ditremum,helminth,1,0,0,0,1,0
Homo sapiens,Primates,Diphyllobothrium latum,helminth,1,0,1,0,0,0
Homo sapiens,Primates,Diphyllobothrium nihonkaiense,helminth,1,0,1,0,0,0
Homo sapiens,Primates,Diplogonoporus balaenopterae,helminth,1,0,1,0,0,0
Anas fulvigula,Anseriformes,Diploposthe laevis,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Diploposthe laevis,helminth,1,0,0,0,1,0
Canis lupus,Carnivora,Dipylidium caninum,helminth,1,0,1,1,1,0
Bonasa umbellus,Galliformes,Dispharynx nasuta,helminth,1,0,0,0,1,0
Chelydra serpentina,Testudines,Dracunculus globocephalus,helminth,1,0,0,0,0,0
Mustela erminea,Carnivora,Dracunculus insignis,helminth,1,0,0,0,0,0
Homo sapiens,Primates,Dracunculus medinensis,helminth,1,0,1,0,0,0
Macaca mulatta,Primates,Dracunculus medinensis,helminth,1,0,1,0,1,0
Anas platyrhynchos,Anseriformes,Drepanidotaenia lanceolata,helminth,1,0,0,0,1,0
Anser anser,Anseriformes,Drepanidotaenia lanceolata,helminth,1,0,0,0,1,0
Chen caerulescens,Anseriformes,Drepanidotaenia lanceolata,helminth,1,0,0,0,1,0
Canis lupus,Carnivora,Echinococcus borealis,helminth,1,0,0,0,0,0
Canis lupus,Carnivora,Echinococcus canadensis,helminth,1,0,1,0,0,0
Canis lupus,Carnivora,Echinococcus multilocularis,helminth,1,0,1,1,1,0
Anas fulvigula,Anseriformes,Echinocotyle rosseteri,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Echinocotyle rosseteri,helminth,1,0,0,0,1,0
Esox lucius,Esociformes,Echinorhynchus borealis,helminth,1,0,0,0,0,0
Oncorhynchus tshawytscha,Salmoniformes,Echinorhynchus salmonis,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Echinuria uncinata,helminth,1,0,0,0,1,0
Alces alces,Artiodactyla,Elaphostrongylus alces,helminth,1,0,1,1,1,0
Rangifer tarandus,Artiodactyla,Elaphostrongylus alces,helminth,1,0,1,1,1,0
Cervus elaphus,Artiodactyla,Elaphostrongylus cervi,helminth,1,0,1,1,1,0
Alces alces,Artiodactyla,Elaphostrongylus rangiferi,helminth,1,0,1,1,1,0
Rangifer tarandus,Artiodactyla,Elaphostrongylus rangiferi,helminth,1,0,1,1,1,0
Homo sapiens,Primates,Enterobius vermicularis,helminth,1,0,1,0,0,0
Anas platyrhynchos,Anseriformes,Epomidiostomum uncinatum,helminth,1,0,0,0,1,0
Canis lupus,Carnivora,Eucoleus aerophilus,helminth,1,0,1,1,1,0
Anas platyrhynchos,Anseriformes,Eucoleus contortus,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Eustrongylides excisus,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Eustrongylides ignotus,helminth,1,0,0,0,0,0
Anas platyrhynchos,Anseriformes,Eustrongylides tubifex,helminth,1,0,0,0,1,0
Gavia immer,Gaviiformes,Eustrongylides tubifex,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Filicollis anatis,helminth,1,0,0,0,1,0
Anas fulvigula,Anseriformes,Fimbriaria fasciolaris,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Fimbriaria fasciolaris,helminth,1,0,0,0,1,0
Panthera pardus,Carnivora,Gnathostoma spinigerum,helminth,1,0,1,0,1,0
Anas platyrhynchos,Anseriformes,Gongylonema congolense,helminth,1,0,0,0,0,0
Homo sapiens,Primates,Gongylonema pulchrum,helminth,1,0,1,0,0,0
Odocoileus virginianus,Artiodactyla,Haemonchus contortus,helminth,1,0,1,1,1,0
Vipera aspis,Squamata,Hexametra quadricornis,helminth,1,0,0,0,0,0
Anas platyrhynchos,Anseriformes,Hymenolepis abortiva,helminth,1,0,0,0,1,0
Homo sapiens,Primates,Hymenolepis nana,helminth,1,0,1,0,0,0
Anas platyrhynchos,Anseriformes,Hymenolepis tenerrima,helminth,1,0,0,0,0,0
Genypterus blacodes,Ophidiiformes,Hysterothylacium aduncum,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Hystrichis tricolor,helminth,1,0,0,0,1,0
Canis lupus,Carnivora,Joyeuxiella pasqualei,helminth,1,0,0,0,0,0
Cyprinus carpio,Cypriniformes,Khawia japonensis,helminth,1,0,0,0,1,0
Cyprinus carpio,Cypriniformes,Khawia sinensis,helminth,1,0,1,0,1,0
Macropus eugenii,Diprotodontia,Labiostrongylus eugenii,helminth,1,0,0,0,1,0
Homo sapiens,Primates,Lagochilascaris minor,helminth,1,0,1,0,0,0
Phalacrocorax auritus,Pelecaniformes,Ligula intestinalis,helminth,1,0,0,0,1,0
Canis lupus,Carnivora,Macracanthorhynchus catulinus,helminth,1,0,0,1,1,0
Ursus americanus,Carnivora,Macracanthorhynchus ingens,helminth,1,0,0,1,1,0
Urocyon littoralis,Carnivora,Mesocestoides corti/variabilis/vogae,helminth,1,0,0,0,0,0
Homo sapiens,Primates,Metastrongylus apri,helminth,1,0,0,0,0,0
Anas fulvigula,Anseriformes,Microsomacanthus compressa,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Microsomacanthus compressa,helminth,1,0,0,0,1,0
Anas fulvigula,Anseriformes,Microsomacanthus hopkinsi,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Microsomacanthus hopkinsi,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Microsomacanthus paracompressa,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Microsomacanthus paramicrosoma,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Microsomacanthus spiralibursata,helminth,1,0,0,0,1,0
Passer domesticus,Passeriformes,Microtetrameres inermis,helminth,1,0,0,0,0,0
Rangifer tarandus,Artiodactyla,Moniezia benedeni,helminth,1,0,0,1,1,0
Alces alces,Artiodactyla,Moniezia expansa,helminth,1,0,0,1,1,0
Ovis canadensis,Artiodactyla,Moniezia expansa,helminth,1,0,0,1,1,0
Esox lucius,Esociformes,Neoechinorhynchus cylindratus,helminth,1,0,0,0,1,0
Homo sapiens,Primates,Oesophagostomum bifurcum,helminth,1,0,1,0,0,0
Macaca mulatta,Primates,Oesophagostomum bifurcum,helminth,1,0,1,1,1,0
Sceloporus grammicus,Squamata,Oochoristica scelopori,helminth,1,0,0,0,1,0
Cryptophis nigrescens,Squamata,Ophidascaris pyrrhus,helminth,1,0,0,0,1,0
Hoplocephalus bungaroides,Squamata,Ophidascaris pyrrhus,helminth,1,0,0,0,1,0
Canis lupus,Carnivora,Oslerus osleri,helminth,1,0,1,1,1,0
Passer domesticus,Passeriformes,Oxyspirura mansoni,helminth,1,0,0,0,0,0
Homo sapiens,Primates,Paracapillaria philippinensis,helminth,1,0,0,0,0,0
Phalacrocorax auritus,Pelecaniformes,Paradilepis caballeroi,helminth,1,0,0,0,1,0
Zalophus californianus,Carnivora,Parafilaroides decorus,helminth,1,0,1,1,1,0
Odocoileus virginianus,Artiodactyla,Parelaphostrongylus andersoni,helminth,1,0,1,1,1,0
Rangifer tarandus,Artiodactyla,Parelaphostrongylus andersoni,helminth,1,0,1,1,1,0
Alces alces,Artiodactyla,Parelaphostrongylus odocoilei,helminth,1,0,0,1,0,0
Rangifer tarandus,Artiodactyla,Parelaphostrongylus odocoilei,helminth,1,0,0,1,0,0
Alces alces,Artiodactyla,Parelaphostrongylus tenuis,helminth,1,0,1,1,1,0
Cervus elaphus,Artiodactyla,Parelaphostrongylus tenuis,helminth,1,0,1,1,1,0
Odocoileus virginianus,Artiodactyla,Parelaphostrongylus tenuis,helminth,1,0,1,1,1,0
Rangifer tarandus,Artiodactyla,Parelaphostrongylus tenuis,helminth,1,0,1,1,1,0
Strix occidentalis,Strigiformes,Paruterina rauschi,helminth,1,0,0,0,0,0
Lagopus muta,Galliformes,Passerilepis serpentulus,helminth,1,0,0,0,0,0
Mustela erminea,Carnivora,Pearsonema mucronata,helminth,1,0,0,0,0,0
Canis lupus,Carnivora,Pearsonema plica,helminth,1,0,0,0,1,0
Esox lucius,Esociformes,Philometra obturans,helminth,1,0,0,0,1,0
Cyprinus carpio,Cypriniformes,Philometroides cyprini,helminth,1,0,1,0,1,0
Anas fulvigula,Anseriformes,Platyscolex ciliata,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Platyscolex ciliata,helminth,1,0,0,0,1,0
Chen caerulescens,Anseriformes,Platyscolex ciliata,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Polymorphus contortus,helminth,1,0,0,0,0,0
Anas platyrhynchos,Anseriformes,Polymorphus marilis,helminth,1,0,0,0,0,0
Anas platyrhynchos,Anseriformes,Polymorphus minutus,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Polymorphus paradoxus,helminth,1,0,0,0,1,0
Cyprinus carpio,Cypriniformes,Pomphorhynchus bulbocolli,helminth,1,0,0,0,1,0
Milvus migrans,Accipitriformes,Porrocaecum angusticolle,helminth,1,0,0,0,1,0
Pernis apivorus,Accipitriformes,Porrocaecum angusticolle,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Porrocaecum crassum,helminth,1,0,0,0,1,0
Passer domesticus,Passeriformes,Porrocaecum ensicaudatum,helminth,1,0,0,0,1,0
Cebus capucinus,Primates,Protospirura muricola,helminth,1,0,0,1,0,0
Pan troglodytes,Primates,Protospirura muricola,helminth,1,0,0,1,0,0
Ovis canadensis,Artiodactyla,Protostrongylus stilesi/rushi,helminth,1,0,0,0,0,0
Cyprinus carpio,Cypriniformes,Pseudocapillaria tomentosa,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Pseudocorynosoma constrictum,helminth,1,0,0,0,0,0
Arctocephalus australis,Carnivora,Pseudoterranova cattani,helminth,1,0,0,0,0,0
Esox lucius,Esociformes,Raphidascaris acus,helminth,1,0,1,0,1,0
Anas platyrhynchos,Anseriformes,Retinometra venusta,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Schistocephalus solidus,helminth,1,0,0,0,1,0
Phalacrocorax auritus,Pelecaniformes,Schistocephalus solidus,helminth,1,0,0,0,1,0
Falco peregrinus,Falconiformes,Serratospiculum tendo,helminth,1,0,0,0,1,0
Ovis canadensis,Artiodactyla,Skrjabinema ovis,helminth,1,0,0,0,0,0
Lontra canadensis,Carnivora,Skrjabingylus lutrae,helminth,1,0,0,0,0,0
Mustela erminea,Carnivora,Skrjabingylus nasicola,helminth,1,0,0,1,0,0
Phrynosoma cornutum,Squamata,Skrjabinoptera phrynosoma,helminth,1,0,0,0,1,0
Anas fulvigula,Anseriformes,Sobolevicanthus gracilis,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Sobolevicanthus gracilis,helminth,1,0,0,0,1,0
Chen caerulescens,Anseriformes,Sobolevicanthus gracilis,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Sobolevicanthus krabbeella,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Sobolevicanthus octacantha,helminth,1,0,0,0,1,0
Phalacrocorax auritus,Pelecaniformes,Southwellina hispida,helminth,1,0,1,0,1,0
Chelydra serpentina,Testudines,Spiroxys contortus,helminth,1,0,0,0,0,0
Chrysemys picta,Testudines,Spiroxys contortus,helminth,1,0,0,0,0,0
Anas platyrhynchos,Anseriformes,Streptocara crassicauda,helminth,1,0,0,0,1,0
Phalacrocorax auritus,Pelecaniformes,Syncuaria squamata,helminth,1,0,0,0,1,0
Anser anser,Anseriformes,Syngamus trachea,helminth,1,0,0,0,1,0
Panthera pardus,Carnivora,Taenia acinonyxi,helminth,1,0,0,0,1,0
Homo sapiens,Primates,Taenia asiatica,helminth,1,0,1,0,0,0
Canis lupus,Carnivora,Taenia crassiceps,helminth,1,0,1,1,1,0
Canis lupus,Carnivora,Taenia hydatigena,helminth,1,0,1,1,1,0
Canis lupus,Carnivora,Taenia laticollis,helminth,1,0,0,0,1,0
Mustela erminea,Carnivora,Taenia martis,helminth,1,0,1,0,0,0
Canis lupus,Carnivora,Taenia multiceps,helminth,1,0,1,1,1,0
Mustela erminea,Carnivora,Taenia mustelae,helminth,1,0,0,0,0,0
Canis lupus,Carnivora,Taenia ovis/krabbei,helminth,1,0,0,0,0,0
Canis lupus,Carnivora,Taenia parenchymatosa,helminth,1,0,0,0,1,0
Canis lupus,Carnivora,Taenia pisiformis,helminth,1,0,1,1,1,0
Panthera pardus,Carnivora,Taenia regis,helminth,1,0,0,1,1,0
Homo sapiens,Primates,Taenia saginata,helminth,1,0,1,0,0,0
Canis lupus,Carnivora,Taenia serialis,helminth,1,0,1,1,1,0
Homo sapiens,Primates,Taenia solium,helminth,1,0,1,0,0,0
Anas platyrhynchos,Anseriformes,Tetrameres crami,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Tetrameres fissispina,helminth,1,0,0,0,1,0
Canis lupus,Carnivora,Toxascaris leonina,helminth,1,0,1,1,1,0
Canis lupus,Carnivora,Toxocara canis,helminth,1,0,1,1,1,0
Esox lucius,Esociformes,Triaenophorus crassus,helminth,1,0,1,0,1,0
Esox lucius,Esociformes,Triaenophorus nodulosus,helminth,1,0,1,0,1,0
Lagopus muta,Galliformes,Trichostrongylus tenuis,helminth,1,0,0,0,0,0
Homo sapiens,Primates,Trichuris suis,helminth,1,0,1,0,0,0
Homo sapiens,Primates,Trichuris trichiura,helminth,1,0,1,0,0,0
Pan troglodytes,Primates,Trichuris trichiura,helminth,1,0,1,1,1,0
Homo sapiens,Primates,Trichuris vulpis,helminth,1,0,1,0,0,0
Martes pennanti,Carnivora,Trilobostrongylus bioccai,helminth,1,0,0,0,1,0
Anas platyrhynchos,Anseriformes,Tschertkovilepis setigera,helminth,1,0,0,0,1,0
Anser anser,Anseriformes,Tschertkovilepis setigera,helminth,1,0,0,0,1,0
Chen caerulescens,Anseriformes,Tschertkovilepis setigera,helminth,1,0,0,0,1,0
Odocoileus virginianus,Artiodactyla,Varestrongylus alpenae,helminth,1,0,1,1,1,0
Rangifer tarandus,Artiodactyla,Varestrongylus eleguneniensis,helminth,1,0,0,0,0,0
Cervus elaphus,Artiodactyla,Varestrongylus sagittatus,helminth,1,0,0,1,1,0
Canis lupus,Carnivora,Borna disease virus,virus,0,1,1,0,0,1
Macaca mulatta,Primates,Cercopithecine herpesvirus 1,virus,0,1,0,0,0,1
Macaca mulatta,Primates,Encephalomyocarditis virus,virus,0,1,1,0,0,1
Pan troglodytes,Primates,Encephalomyocarditis virus,virus,0,1,1,0,0,1
Pan troglodytes,Primates,Human adenovirus A,virus,0,1,0,0,0,1
Gorilla beringei,Primates,Human adenovirus B,virus,0,1,0,0,0,1
Pan troglodytes,Primates,Human adenovirus B,virus,0,1,0,0,0,1
Gorilla beringei,Primates,Human adenovirus C,virus,0,1,0,0,0,1
Pan troglodytes,Primates,Human adenovirus C,virus,0,1,0,0,0,1
Pan troglodytes,Primates,Human adenovirus E,virus,0,1,0,0,0,1
Pan troglodytes,Primates,Human adenovirus F,virus,0,1,0,0,0,1
Pan troglodytes,Primates,Human enterovirus A,virus,0,1,0,0,0,1
Papio cynocephalus,Primates,Human enterovirus B,virus,0,1,0,0,0,1
Pan troglodytes,Primates,Human enterovirus D,virus,0,1,0,0,0,1
Papio cynocephalus,Primates,Human T-lymphotropic virus 1,virus,0,1,0,0,0,0
Canis lupus,Carnivora,Influenza A H3N2 virus,virus,0,1,0,0,0,0
Canis lupus,Carnivora,Mokola virus,virus,0,1,1,0,0,1
Rangifer tarandus,Cetartiodactyla,Orf virus,virus,0,1,1,0,0,1
Elephas maximus,Proboscidea,Rabies virus,virus,0,1,1,0,0,1
Canis lupus,Carnivora,Rabies virus,virus,0,1,1,0,0,1
Rangifer tarandus,Cetartiodactyla,Rabies virus,virus,0,1,1,0,0,1
Panthera pardus,Carnivora,Rabies virus,virus,0,1,1,0,0,1
Pan troglodytes,Primates,Simian foamy virus,virus,0,1,1,0,0,1
Papio cynocephalus,Primates,Simian foamy virus,virus,0,1,1,0,0,1
Cercopithecus mitis,Primates,Simian foamy virus,virus,0,1,1,0,0,1
Macaca mulatta,Primates,Simian foamy virus,virus,0,1,1,0,0,1
Canis lupus,Carnivora,Suid herpesvirus 1,virus,0,1,1,0,0,1
Pan troglodytes,Primates,Tai forest ebolavirus,virus,0,1,1,0,0,0
Pan troglodytes,Primates,Zaire ebolavirus,virus,0,1,1,0,0,1
Eidolon helvum,Chiroptera,Zaire ebolavirus,virus,0,1,1,0,0,1
Homo sapiens,Primates,Abiotrophia defectiva,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Acanthamoeba astronyxis,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Acanthamoeba castellanii,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Acanthamoeba culbertsoni,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Acanthamoeba hatchetti,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Acanthamoeba lenticulata,protozoa,0,0,1,0,0,0
Homo sapiens,Primates,Acanthamoeba polyphaga,protozoa,0,0,1,0,0,0
Canis lupus,Carnivora,Acanthocheilonema reconditum,helminth,0,0,1,0,0,0
Homo sapiens,Primates,Achromobacter denitrificans,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Achromobacter piechaudii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Achromobacter xylosoxidans,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Acidaminococcus fermentans,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Acinetobacter baumannii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Acinetobacter berezinae,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Acinetobacter calcoaceticus,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Acinetobacter haemolyticus,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Acinetobacter johnsonii,bacteria,0,0,1,0,0,0
Cyprinus carpio,Cypriniformes,Acinetobacter junii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Acinetobacter junii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Acinetobacter lwoffii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Acinetobacter parvus,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Acinetobacter radioresistens,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Acinetobacter septicus,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Acinetobacter ursingii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinobacillus hominis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinobacillus lignieresii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinobacillus pleuropneumoniae,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinobacillus suis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinobacillus ureae,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinobaculum schaalii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomadura meyerae,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomadura pelletieri,bacteria,0,0,1,0,0,0
Canis lupus,Carnivora,Actinomyces bowdenii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomyces cardiffensis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomyces dentalis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomyces denticolens,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomyces funkei,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomyces georgiae,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomyces gerencseriae,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomyces graevenitzii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomyces israelii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomyces massiliensis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomyces meyeri,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomyces naeslundii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomyces neuii,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomyces odontolyticus,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomyces oricola,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomyces oris,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomyces radingae,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomyces turicensis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomyces urogenitalis,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Actinomyces viscosus,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Adlercreutzia equolifaciens,bacteria,0,0,1,0,0,0
Homo sapiens,Primates,Aedes aegypti,arthropod,0,0,1,0,0,0
Homo sapiens,Primates,Aerococcus christensenii,bacteria,0,0,1,0,0,0
