Ref_ID,First_Author,Author_All,Journal,YearPublished,Title,Database,DateAccessed,DOI,ISBN
81,Dufty,"Dufty, Wingfield",J ZOOL LONDON A,1986,"Temporal patterns of circulating LH and steroid hormones in a brood parasite, the brown-headed cowbird, Molothrus ater I. Males",null,null,10.1016/0018-506X(86)90020-6,null
122,Silverin,"Silverin, Viebke, Westin",ORNIS SCANDINAVICA,1986,Seasonal changes in plasma levels of LH and gonadal steroids in free-living willow tits Parus montanus,null,null,10.2307/3676831,null
635,Krutzsch,"Krutzsch, Crichton",AM J ANAT,1987,"Reproductive biology of the male little mastiff bat, Mormopterus planiceps (Chiroptera: MoIossidae), in southeast AustraIia",null,null,10.1002/aja.1001780407,null
636,McGuckin,"McGuckin, Blackshaw",AUST J BIOL SCI,1987,"Seasonal changes in spermatogenesis (including germ cell degeneration) and plasma testosterone concentration in the grey-headed fruit bat, Pteropus poliocephalus",null,null,null,null
356,Krohmer,"Krohmer, Grassman, Crews",GEN COMP ENDOCR,1987,"Annual reproductive cycle in the male red-sided garter snake, Thamnophis sirtalis parietalis: field and laboratory studies",null,null,10.1016/0016-6480(87)90061-X,null
375,Moore,"Moore, Marler",GEN COMP ENDOCR,1987,"Effects of testosterone manipulations on nonbreeding season territorial aggression in free-living male lizards, Sceloporus jarrovi",null,null,10.1016/0016-6480(87)90170-5,null
151,Fraissinet,"Fraissinet, Varriale, Pierantoni, Caliendo, Matteo, Bottoni, Milone",GEN COMP ENDOCRINOL,1987,Annual testicular activity in the gray partridge (Perdix perdix L.),null,null,10.1016/0016-6480(87)90056-6,null
467,Kuhn,"Kuhn, Gevaerts, Vandorpe, Jacobs",GEN COMP ENDOCRINOL,1987,"Reproductive cycle, thyroxine and corticosterone in females of the giant swamp frog Dicroglossus occipitalis at the equator",null,null,10.1016/0016-6480(87)90358-3,null
537,Townsend,"Townsend, Moger",HORM BEHAV,1987,Plasma androgen levels during male parental care in a tropical frog (Eleutherodactylus),null,null,10.1016/0018-506X(87)90034-1,null
644,Linville,"Linville, Hanson, Sower",HORM BEHAV,1987,Endocrine events associated with spawning behavior in the sea lamprey (Petromyzon marinus),null,null,10.1016/0018-506X(87)90036-5,null
625,Rosenblum,"Rosenblum, Pundey, Callard",J FISH BIOL,1987,"Gonadal morphology, enzyme histochemistry and plasma steroid levels during the annual reproductive cycle of male and female brown bullhead catfish, Ictalurus nebulosus Lesueur",null,null,10.1111/j.1095-8649.1987.tb05239.x,null
632,Khammar,"Khammar, Brudieux",J REPROD FERTIL,1987,Seasonal changes in testicular contents and plasma concentrations of androgens in the desert gerbil (Gerbillus gerbillus),null,null,10.1530/jrf.0.0800589,null
218,Wildt,"Wildt, Bush, Goodrowe, Packer, Pusey, Brown, Joslin, O'brien",NATURE,1987,Reproductive and genetic consequences of founding isolated lion populations,null,null,10.1038/329328a0 ,null
141,Ball,"Ball, Wingfield",PHYSIOL ZOOL,1987,Changes in plasma levels of luteinizing hormone and sex steroid hormones in relation to multiple broodedness and nest site density in male starlings,null,null,10.1016/0016-6480(80)90081-7,null
136,Krishnaprasadan,"Krishnaprasadan, Vibhakar, Kotak, Sharp, Schmedemann, Haase",HORM BEHAV,1988,Environmental and hormonal factors in seasonal breeding in free-living male Indian rose-ringed parakeets (Psittacula krameri),null,null,10.1016/0018-506X(88)90053-0,null
137,Sailaja,"Sailaja, Vibhakar, Kotak, Sharp, Schmedemann, Haase",HORM BEHAV,1988,"Environmental, dietary, and hormonal factors in the regulation of seasonal breeding in free-living female Indian rose-ringed parakeets (Psittacula krameri)",null,null,10.1016/0018-506X(88)90055-4,null
521,Orchinik,"Orchinik, Licht, Crews",HORM BEHAV,1988,Plasma steroid concentrations change in response to sexual behavior in Bufo marinus,null,null,null,null
129,Narasimhacharya,"Narasimhacharya, Kotak, Sharp",J ZOOL LOND,1988,Environmental and hormonal interactions in the regulation of seasonal breeding in free-living male Indian baya weaver birds (Ploceus philippinus),null,null,10.1111/j.1469-7998.1988.tb04898.x,null
65,Beletsky,"Beletsky, Orians, Wingfield",AUK,1989,"Relationships of steroid hormones and polygyny to territorial status, breeding experience, and reproductive success in male red-winged blackbirds",null,null,10.2307/4087763,null
365,Mahmoud,"Mahmoud, Guillette, McAsey, Cady",COMP BIOCHEM PHYS A,1989,"Stress-induced changes in serum testosterone, estradiol-17ß and progesterone in the turtle, Chelydra serpentina",null,null,10.1016/0300-9629(89)90060-1,null
502,Delgado,"Delgado, Gutierrex, Alonso-Bedate",GEN COMP ENDOCRINOL,1989,"Seasonal cycles in testicular activity in the frog, Rana perezi",null,null,10.1016/0016-6480(89)90049-X,null
642,Kindler,"Kindler, Phillipp, Gross, Bahr",GEN COMP ENDOCRINOL,1989,Serum 11-ketotestosterone and testosterone concentrations associated with reproduction in male bluegill (Lepomis macrochirus: Centrarchidae),null,null,10.1016/0016-6480(89)90180-9,null
324,Aldridge,"Aldridge, Greenhaw, Plummer",AMPHIBIA-REPTILIA,1990,The male reproductive cycle of the rough green snake (Opheodrys aestivus),null,null,10.1163/156853890X00564,null
66,Beletsky,"Beletsky, Orians, Wingfield",AUK,1990,"Steroid hormones in relation to territoriality, breeding density, and parental behavior in male yellow-headed blackbirds",null,null,null,null
522,Paolucci,"Paolucci, Esposito, DiFiore, Botte",B ZOOL,1990,Effects of short postcapture confinement on plasma reproductive hormone and corticosterone profiles in Rana esculenta during the sexual cycle,null,null,10.1080/11250009009355704,null
397,Wibbels,"Wibbels, Owens, Limpus, Reed, Amoss",GEN COMP ENDOCR,1990,"Seasonal changes in serum gonadal steroids associated with migration, mating, and nesting in the loggerhead sea turtle (Caretta caretta)",null,null,10.1016/0016-6480(90)90099-8,null
543,Pankhurst,Pankhurst,GEN COMP ENDOCR,1990,Changes in plasma levels of gonadal steroids during spawning behavior in territorial male demoiselles Chromis dispilus (Pisces: Pomacentridae) sampled underwater ,null,null,10.1016/0016-6480(90)90106-V,null
125,Gratto-Trevor,"Gratto-Trevor, Fivizzani, Oring, Cooke",GEN COMP ENDOCRINOL,1990,Seasonal changes in gonadal steroids if a monogamous versus a polyandrous shorebird,null,null,10.1016/0016-6480(90)90190-W,null
