hHostNameFinal,hOrder,vVirusNameCorrected,paraType,source
Cercopithecus_nictitans,PRIMATES,Simian_foamy_virus,virus,brook
Procolobus_rufomitratus,PRIMATES,Simian_foamy_virus,virus,brook
Callithrix_jacchus,PRIMATES,Simian_foamy_virus,virus,brook
Macaca_arctoides,PRIMATES,Simian_foamy_virus,virus,brook
Peromyscus_maniculatus,RODENTIA,Sin_Nombre_virus,virus,brook
Neotoma_lepida,RODENTIA,Sin_Nombre_virus,virus,brook
Rousettus_aegyptiacus,CHIROPTERA,Sosuga_virus,virus,brook
Mustela_lutreola,CARNIVORA,Suid_herpesvirus_1,virus,brook
Canis_lupus,CARNIVORA,Suid_herpesvirus_1,virus,brook
Puma_concolor,CARNIVORA,Suid_herpesvirus_1,virus,brook
Sus_scrofa,CETARTIODACTYLA,Suid_herpesvirus_1,virus,brook
Sus_scrofa,CETARTIODACTYLA,Suid_herpesvirus_1,virus,brook
Pan_troglodytes,PRIMATES,Tai_forest_ebolavirus,virus,brook
Microtus_arvalis,RODENTIA,Tula_virus,virus,brook
Microtus_subterraneus,RODENTIA,Tula_virus,virus,brook
Microtus_levis,RODENTIA,Tula_virus,virus,brook
Microtus_agrestis,RODENTIA,Tula_virus,virus,brook
Arvicola_amphibius,RODENTIA,Tula_virus,virus,brook
Neotoma_albigula,RODENTIA,Whitewater_Arroyo_virus,virus,brook
Neotoma_cinerea,RODENTIA,Whitewater_Arroyo_virus,virus,brook
Pan_troglodytes,PRIMATES,Zaire_ebolavirus,virus,brook
Cephalophus_callipygus,CETARTIODACTYLA,Zaire_ebolavirus,virus,brook
Rousettus_aegyptiacus,CHIROPTERA,Zaire_ebolavirus,virus,brook
Gorilla_gorilla,PRIMATES,Zaire_ebolavirus,virus,brook
Eidolon_helvum,CHIROPTERA,Zaire_ebolavirus,virus,brook
Miniopterus_inflatus,CHIROPTERA,Zaire_ebolavirus,virus,brook
Epomops_franqueti,CHIROPTERA,Zaire_ebolavirus,virus,brook
Micropteropus_pusillus,CHIROPTERA,Zaire_ebolavirus,virus,brook
Hypsignathus_monstrosus,CHIROPTERA,Zaire_ebolavirus,virus,brook
Myonycteris_torquata,CHIROPTERA,Zaire_ebolavirus,virus,brook
