Cargo,Cargo classification,Carrier,Carrier classification,Sequences count,Publications count,Sequences,Publications
actinobacillus lignieresii,Bacteria,homo sapiens,Human,3,1,2689005;2689009;2689025,14484340
actinobacillus pleuropneumoniae,Bacteria,homo sapiens,Human,0,9,NA,2193702;6329957;7496539;7720523;8549286;11000461;11825957;15899574;21737093
actinobacillus suis,Bacteria,homo sapiens,Human,0,8,NA,16480769;15899574;12742718;12361259;11910502;11825957;9628357;7868272
actinobacillus ureae,Bacteria,homo sapiens,Human,422,0,322118121;322118124;322118126;322118129;322118133;322118135;322118137;322118141;322118144;322118148;322118151;322118156;322118161;322118166;322118171;322118175;322118181;322118184;322118188;322118195;322118199;322118205;322118209;322118214;322118216;322118228;322118232;322118243;322118261;322118271;322118273;322118276;322118314;322118339;322118363;322118388;322118405;322118416;322118428;322118445;322118480;322118496;322118516;322118524;322118536;322118556;322118569;322118584;322118615;322118621;322118650;322118715;322118783;322118822;322118828;322118836;322118841;322118873;322118879;322118888;322118894;322118920;322118971;322118991;322119009;322119024;322119049;322119081;322119093;322119120;322119138;322119146;322119191;322119227;322119232;322119234;322119243;322119260;322119284;322119305;322119343;322119362;322119394;322119412;322119442;322119457;322119474;322119539;322119550;322119555;322119563;322119588;322119608;322119616;322119634;322119643;322119656;322119686;322119692;322119699,NA
actinobaculum schaalii,Bacteria,homo sapiens,Human,1,2,115277989,20854424;20952417
actinomadura madurae,Fungi,homo sapiens,Human,300,1,586972663;586972664;586972665;586972666;586972667;586972668;586972669;586972670;586972671;586972672;586972673;586972674;586972675;586972676;586972677;586972678;586972679;586972680;586972681;586972682;586972683;586972684;586972685;586972686;586972687;586972688;586972689;586972690;586972691;586972692;586972693;586972694;586972695;586972696;586972697;586972698;586972699;586972700;586972701;586972702;586972703;586972704;586972705;586972706;586972707;586972708;586972709;586972710;586972711;586972712;586972713;586972714;586972715;586972716;586972717;586972718;586972719;586972720;586972721;586972722;586972723;586972724;586972725;586972726;586972727;586972728;586972729;586972730;586972731;586972732;586972733;586972734;586972735;586972736;586972737;586972738;586972739;586972740;586972741;586972742;586972743;586972744;586972745;586972746;586972747;586972748;586972749;586972750;586972751;586972752;586972753;586972754;586972755;586972756;586972757;586972758;586972759;586972760;586972761;586972762,8366880
actinomadura meyerae,Bacteria,homo sapiens,Human,1,0,315570419,NA
actinomadura pelletieri,Bacteria,homo sapiens,Human,1,0,281484914,NA
actinomucor elegans,Fungi,homo sapiens,Human,4,0,54649876;54649877;229464582;229464583,NA
actinomyces bowdenii,Bacteria,canis lupus,Mammal,1,0,401021340,NA
actinomyces cardiffensis,Bacteria,homo sapiens,Human,5,0,284451141;285200759;285200761;285200763;290759819,NA
actinomyces dentalis,Bacteria,homo sapiens,Human,5,1,285201084;285201085;285201086;285201087;285201088,15653913
actinomyces denticolens,Bacteria,homo sapiens,Human,1,0,285203730,NA
actinomyces funkei,Bacteria,homo sapiens,Human,2,0,332042329;356491214,NA
actinomyces georgiae,Bacteria,homo sapiens,Human,2,0,285180945;290759818,NA
actinomyces gerencseriae,Bacteria,homo sapiens,Human,24,1,285180949;285180966;285180981;285180983;285180989;285180991;285180997;285181000;285181008;285181010;285181012;285181014;285181016;285181018;285181020;285181035;285181037;285181039;285181041;285181045;285181057;285181059;285181061;285181074,2397195
actinomyces graevenitzii,Bacteria,homo sapiens,Human,1,0,371919676,NA
actinomyces israelii,Bacteria,homo sapiens,Human,72,19,285184404;285184406;285184408;285184409;285184410;285184411;285184412;285184413;285184417;285184419;285184421;285184424;285184425;285184426;285184427;285184428;285184429;285184430;285184431;285184432;285184433;285184434;285184436;285184437;285184438;285184441;285184442;285184444;285184445;285184446;285184447;285184449;285184451;285184453;285184455;285184456;285184457;285184458;285184462;285184463;285184464;285184466;285184469;285184470;285184472;285184473;285184475;285184479;285184481;285184482;285184483;285184484;285184485;285184486;285184487;285184489;285184490;285184491;285184492;285184493;285184494;285184495;285184496;285184497;285184500;285184501;285184502;285184504;285184507;285184508;285184509;285184510,2397195;11220957;18498901;19882914;20583443;19348264;18203542;17714758;17584471;15831144;14622340;14433042;13721371;7193305;6514161;2892794;1408347;1158523;711337
actinomyces massiliensis,Bacteria,homo sapiens,Human,12,0,285204169;285204171;285204173;285204175;285204177;285204179;285204181;285204183;285204185;285204187;285204189;285204191,NA
actinomyces meyeri,Bacteria,homo sapiens,Human,1,6,290759820,1465587;6717557;8877656;9178115;9260489;21296736
