Cargo,Cargo classification,Carrier,Carrier classification,Sequences count,Publications count,Sequences,Publications
echinococcus granulosus,Helminth,homo sapiens,Human,189,164,1305452;5804828;5804829;5804837;22653314;23304879;23304881;23304885;23304887;23304889;23304891;23304893;23304895;23304897;23304899;23304901;23304903;23304904;23304906;23304907;23304909;23304917;27526354;27526356;27526360;27526362;27526364;27526366;27526368;27526370;27526372;27526374;27526389;27526391;27526392;45478479;50593324;51317568;51317570;60459969;85681156;85681168;85681201;85681208;85681217;85681231;85681243;85681257;85681261;86279458;86279460;86279462;86279464;86279466;86279468;86279470;86279476;153799879;157087526;157087528;186926502;186926506;186926518;186926540;186926546;209401277;237769798;281413249;281413251;281413253;281413313;281413315;281413317;281413319;281413321;281413341;281413371;281413385;281413387;281413413;281413415;290349794;290349796;290349800;290349802;290349812;290349814;290349816;290349818;290349824;290349828;290349830;290349834;290349836;290349838;290349840;290349842;290349844;290349846;290349848,78222;329700;340500;823517;870671;875855;1288431;1463358;1516550;1520796;1599056;1841192;1873887;1887482;2133417;2210938;2222004;2456004;2518723;2524665;2975435;3450447;3517766;3532841;3533299;3787686;3997345;4007032;4195433;6408975;6441532;6660967;6666362;6680298;6822726;7324114;7481657;7546341;7774496;7810822;7982748;8170426;8187655;8541895;8647783;8767863;9011072;9195682;626286;9542809;9656344;9509628;9802090;9236937;10081769;10363285;10540302;10592895;11101624;11213147;11267754;11414448;11454243;8127263;11904106;11982600;7882566;12171618;12171619;7586679;12606096;12606099;12606108;12614983;7290973;7228479;6720661;14523787;14726458;5568125;15027611;3816047;15125518;15158694;15206505;3504273;3503417;15469168;3488132;3350443;15845282;15893076;16044690;3257076;16387527;16406684;16444417;16612925;16858614;16875463
echinococcus multilocularis,Helminth,canis lupus,Mammal,3,40,52140020;154721525;154721526,417482;564542;2305184;2314925;3354771;3901604;5528308;6124154;6880342;9253833;9465311;9542809;9657165;10662995;12376028;12914402;12934520;12937989;14501996;14640069;15619374;15710549;15772323;16356762;16371253;16387527;16881394;16977691;17060711;17128341;17618826;18225718;18819752;19194085;19238666;19522305;19536918;19756739;21802208;21851681
echinococcus multilocularis,Helminth,homo sapiens,Human,29,73,4581248;116043962;117307507;197085494;253787615;253787617;253787619;253787621;281485474;281485476;281485478;281485480;281485482;290349871;290349873;290349877;290349879;340509387;340509389;340509391;340509393;340513699;340513701;340513703;340513705;340513707;340513709;400530441;400530443,1508075;2305184;2319425;2481826;2524665;3082229;3223143;3515794;3546045;6666362;8594699;9459621;9542809;10098932;10548289;10592895;10622606;10955699;11798795;11904106;12149326;12643838;12859912;12894685;12937989;14501996;14523787;14564512;14636682;15027610;15036574;15158694;15619374;15725534;16360335;16371253;16387527;16434111;16454866;16793045;17024979;17128341;17553252;17727977;18583056;19162220;19238666;19536918;19782112;19805524;19887070;20352052;20585656;20600070;20683265;21802208;21733269;22184948;21427774;19578966;17845804;16315852;15384864;10662995;9657165;7197224;4056349;3901604;3901568;3185617;2242619;1891451;1837903
echinococcus oligarthrus,Helminth,homo sapiens,Human,1,2,391358830,727324;18258123
echinococcus vogeli,Helminth,homo sapiens,Human,1,3,186926576,2481826;7283003;17014876
echinoparyphium recurvatum,Helminth,homo sapiens,Human,0,6,NA,21129506;21120529;9639906;9460217;610631;4472221
echinostoma cinetorchis,Helminth,homo sapiens,Human,0,10,NA,25031469;22592535;20149548;17152966;11695387;11590915;10577736;12811034;12886110;12891011
echinostoma hortense,Helminth,homo sapiens,Human,0,7,NA,7953246;8691378;8925250;12113752;12811048;12888684;12902652
echinostoma ilocanum,Helminth,homo sapiens,Human,0,6,NA,21738278;17089781;16888946;1822877;3090713;7147008
echinostoma revolutum,Helminth,homo sapiens,Human,0,7,NA,22949759;21129506;21120529;20064622;12224269;44358;4472221
edwardsiella tarda,Bacteria,homo sapiens,Human,3,19,281313335;306021035;325698398,596515;3729372;3911993;6826702;7381019;8268359;9532670;18397289;21924375;21419793;20951808;19554405;17239614;11317243;7886534;7460120;7387150;5764505;1948259
eggerthella lenta,Bacteria,homo sapiens,Human,2,7,292385845;321271126,1494447;9178115;9296239;16204524;17584471;18269534;21457417
ehrlichia canis,Bacteria,canis lupus,Mammal,87,119,1326072;15150129;33331025;71493351;71493353;71493355;71493357;71493359;71493361;71493363;94982578;94982579;116295208;116295209;119496972;120431233;123979213;123979214;126256514;146134155;154466824;156069061;156601429;156787464;156858237;157102080;157265864;157645010;157645011;161177101;161376755;161376757;168495546;169388008;189418696;189418697;189418698;189418699;189418700;208969235;208969236;208969237;208969238;208969239;208969240;208969241;208969242;208969243;208969244;265264975;265264977;265264979;270271192;270271196;294715517;294861491;295002110;298155647;298162260;298162262;317383211;326694026;327422352;332650713;338808481;338808482;338808483;338808484;338808485;338808486;338808487;338808488;338808489;338808490;338808491;338808492;338808493;338808494;398330182;400530097;402810448;402810449;406353199;406657662;406657666;406657670;406657674,49162;521367;624663;629452;1112743;1899857;1920256;1952347;1995730;2024432;2165753;2231616;2312682;2643878;2985504;3583884;3733499;5072572;5128792;7257081;7312306;7447122;7463598;7595915;7601694;7602573;7734523;7744662;7929751;7929754;8027343;8191006;8686178;9087922;9195740;9196207;9348500;9431923;10225842;10879405;11113545;11163693;11193652;11254561;11427559;11503912;11574571;11600268;11953415;12002576;12090289;12202605;12458168;12572938;12627711;12654844;12825352;13428628;14500531;14605197;15036573;15131097;15478765;15504892;15515575;15515801;15622893;16137129;16231709;16429803;16481554;16512116;16617707;16962245;16967415;17088359;17099156;17114756;17114768;17403582;17436907;17445073;17523100;17624694;17643354;17824154;17920967;18196732;18432094;18502588;18554433;18564224;18687528;18945189;19084398;19128893;19129471;19419823;19420187;19438630
ehrlichia canis,Bacteria,homo sapiens,Human,6,21,5771467;5771469;15150128;62083292;62083294;62083296,1757557;1951324;1995730;2041392;2214103;2985504;6274798;7734523;8686178;11193652;11574571;12654844;14605197;16621285;17397342;18378408;18554433;21439224;7508458;19084398;16962245
ehrlichia chaffeensis,Bacteria,canis lupus,Mammal,3,34,148767453;156572231;257437432,1510307;7542262;7734523;8297496;8304572;8445459;8902334;8920030;9196207;9596710;10225842;11158090;11254561;11953415;12095432;12653141;12654844;12825352;14532192;14532348;14714667;14765684;17088359;18094116;18770538;19248653;19420187;19454021;19819631;19955322;20030996;20077398;20723954;21439224
ehrlichia chaffeensis,Bacteria,homo sapiens,Human,3,81,2624917;2624918;134285210,1757557;7508458;7542262;7619983;7674488;7734523;7822034;8297496;8304572;8445459;8583627;8897200;8900357;8903194;8920030;8985223;9041353;9093962;9801331;10074538;10225882;10405403;10432075;10436355;10479099;10574528;10603210;10754283;10816490;10886489;10905976;11073767;11158090;11450674;11693973;11905291;12095432;12653141;12654844;12817434;12904406;15331423;15815149;16358425;16417431;16621285;17699076;17848069;18094116;18770538;19054615;19190221;19248653;20030996;20077398;21439224;22030371;21187937;20632529;19955322;19819631;19454021;17529862;17087735;15502406;14720399;14532348;14519250;12525424;12032902;11982308;11435982;11159213;10955083;10827125;10602669;10438390;10341193;9596710;9298007;1510307
ehrlichia chaffeensis,Bacteria,odocoileus virginianus,Mammal,12,0,34559225;34811985;34811987;34811989;34811991;34811993;34811995;34811997;34811999;34812001;34812003;34812005,NA
ehrlichia ewingii,Bacteria,canis lupus,Mammal,1,2,73697918,11574571;21397411
ehrlichia ewingii,Bacteria,homo sapiens,Human,1,6,6110617,10878077;11574571;12095432;16621285;17848069;18094116
ehrlichia ruminantium,Bacteria,homo sapiens,Human,14,5,94469406;94469407;94469408;94469409;94469410;94469411;94469412;94469413;94469414;94469417;94469420;94469423;94469426;94469429,8134625;8134631;9568614;16481543;16200992
eikenella corrodens,Bacteria,homo sapiens,Human,23,62,257480653;285177511;285177513;285177514;285177515;285177516;285177517;285177519;285177520;285177521;285177523;285177526;285177528;285177530;285177532;285177534;285177536;285177540;285177542;285177552;285177554;290759925;329025343,334672;637050;770499;775650;1443020;1535299;1890226;2098714;2662690;3022112;3190202;3513287;6260661;6735473;7565172;8085309;8179747;8589666;9042080;9810657;10531230;10870468;10952607;11327077;12113372;12205068;12423617;12466406;12525927;16053863;16213496;16304448;17397309;17584471;17653931;18562227;18842116;19141750;19698283;21916371;17485819;16640010;16235131;16150226;12546594;12236570;11766381;10788866;10534207;9617144;8347509;8339474;8305555;8263639;6396347;6393267;4715552;3529960;2669789;2403435;2150617;2088213
eimeria auritusi,Protozoa,phalacrocorax auritus,Aves,1,0,89199562,NA
eimeria phalacrocoraxae,Protozoa,phalacrocorax auritus,Aves,2,0,89199560;89199561,NA
elaphostrongylus alces,Helminth,alces alces,Mammal,1,0,20977206,NA
elaphostrongylus cervi,Helminth,cervus elaphus,Domestic,1,28,20977204,1771735;2922906;3992820;4013046;6211112;6220510;7623202;8076289;9794639;11230923;11504216;12018203;12053987;12099432;15469631;15565462;16030938;16265599;17255458;17401583;20923583;19856837;18416882;17340117;16331471;11128481;1071464;1063944
elaphostrongylus rangiferi,Helminth,rangifer tarandus,Domestic,2,12,20386752;20977205,1170553;1796688;1796689;6371122;6474781;7128717;7483904;7839758;8410545;9231986;9774793;10207376
elephantid herpesvirus 1,Virus,elephas maximus,Mammal,160,0,109639413;295407844;295407848;295407850;295407852;295407854;295407856;295407858;295407862;295407864;295407868;295407870;295407872;295407874;295407880;295407883;295407889;295407892;295407895;301331651;301331654;301331657;301331660;301331664;301331668;301331673;301331679;301331682;301331702;301331705;301331707;301331710;301331713;301331715;301331718;301331720;301331724;301331727;301331744;301331749;301331752;301331758;301331763;301331765;301331768;301331771;301331774;301331777;301331780;301331784;301331788;301331800;301331804;301331807;301331813;301331817;301331820;301331823;301331826;301331829;301331832;301331836;301331839;301331843;301331847;301331858;301331862;301331868;301331871;301331877;307694590;307694592;307694594;307694596;307694598;307694600;307694602;307694604;308321126;308321128;308321130;308321132;308321134;308321136;308321138;308321140;343963217;343963220;343963223;343963226;343963229;343963232;343963235;343963238;343963241;343963244;343963247;343963250;343963256;343963265,NA
elizabethkingia meningoseptica,Bacteria,homo sapiens,Human,7,14,295853564;295853565;295917931;295917932;295917933;295917934;295917935,1396674;6354010;8976570;9750174;10979295;17015440;19327918;17582192;17157318;16608126;12935696;9524216;8951032;4800468
emericella nidulans,Fungi,homo sapiens,Human,3,80,258618716;315131420;315131421,779492;1367014;1452033;3038540;3892282;6322162;7034966;7568087;7759549;7988865;8491194;8692188;8702974;8760343;9056215;9155024;9202474;9284960;9290249;9417084;9426247;9647649;10346810;10583968;10923026;10959725;11001939;11163260;11179424;11344153;11376067;11682197;11685578;11701951;11734602;11810240;11894959;12065422;12095681;12622813;12657047;12742165;12791148;12871905;13678073;14563848;14978040;15003443;15302831;15311944;15459549;15502819;15545642;15649330;15654119;15691916;15841470;16098534;16410762;16499415;17030990;17191952;17236162;17306432;17323938;17586473;18227243;18346044;18383232;18413600;19168657;19486301;19861490;20718578;21078850;21166768;21206034;21376380;21747802;22199235
emericella quadrilineata,Fungi,homo sapiens,Human,1,0,296687068,NA
emericella rugulosa,Fungi,homo sapiens,Human,2,0,258618722;315131424,NA
emmonsia crescens,Fungi,homo sapiens,Human,0,5,NA,575679;2150623;5102776;5106717;19533414
emmonsia parva,Fungi,homo sapiens,Human,0,6,NA,24106934;11340501;10970355;10691202;9738044;8912163
encephalitozoon cuniculi,Fungi,canis lupus,Mammal,15,17,5918543;5918544;5918545;5918546;5918547;5918548;5918549;5918550;157785716;157785718;157785721;295414025;295414032;295414038;295414046,804074;2497576;2649958;3083316;6800994;8822891;9011071;9021729;10090081;11545489;11906078;11906080;12474043;16036880;16137693;19472335;21348630
encephalitozoon cuniculi,Fungi,homo sapiens,Human,11,40,14484923;14484927;14485659;14485661;14485667;14485669;281190088;281190089;281190090;298362846;319918935,1920150;1995733;2121831;2497576;2649958;7494017;7516908;7724235;8195366;8822888;8822891;8852978;9011071;9057698;9437837;10090081;10331549;10622643;11083817;11169593;11225488;11545489;12049463;12163239;12474043;12969510;14629042;14759257;15133083;15448184;16036880;16797019;16889659;18606195;18805997;19472335;20348007;16368193;9228477;926750
encephalitozoon hellem,Fungi,homo sapiens,Human,11,14,14345998;14485648;14485650;14485652;14485654;14485655;14485656;14485657;14485658;46371581;46371585,1920150;1995733;7724235;8195366;8852978;9057698;9228477;10090081;11225488;16441585;16709419;18704498;18805997;20348007
encephalitozoon intestinalis,Fungi,homo sapiens,Human,1860,34,260853209;260853210;303301365;303301501;303301647;303301797;303301954;303302113;303302270;303302443;303302637;303302840;303303011;303387984;303387986;303387988;303387990;303387992;303387994;303387996;303387998;303388000;303388002;303388004;303388006;303388008;303388010;303388012;303388014;303388016;303388018;303388020;303388022;303388024;303388026;303388028;303388030;303388032;303388034;303388036;303388038;303388040;303388042;303388044;303388046;303388048;303388050;303388052;303388054;303388056;303388058;303388060;303388062;303388064;303388066;303388068;303388070;303388072;303388074;303388076;303388078;303388080;303388082;303388084;303388086;303388088;303388090;303388092;303388094;303388096;303388098;303388100;303388102;303388104;303388106;303388108;303388110;303388112;303388114;303388116;303388118;303388120;303388122;303388124;303388126;303388128;303388130;303388132;303388134;303388136;303388138;303388140;303388142;303388144;303388146;303388148;303388150;303388152;303388154;303388156,7494017;7578763;7714208;7724235;7834600;8195366;8646012;8712899;8843234;8852978;8897186;8940480;9057698;9228477;9593027;9726879;9817510;10090081;10622643;10644491;11225488;11906086;12471418;12836873;15221465;15777637;16370539;18704498;18805997;19121078;19208886;19579789;21269775;21296078
encephalomyocarditis virus,Virus,homo sapiens,Human,6,175,219671228;219671230;219671231;219671233;219671235;219671236,64027;164124;164163;169683;170775;172990;196216;197203;222229;686707;1333688;1349938;1374578;1617188;1652751;1653836;1660942;1724218;1847558;2153461;2164426;2414374;2428301;2437783;2439404;2440179;2440890;2441075;2448553;2455018;2476566;2832359;2871942;2992061;2996865;3001133;3004041;3016341;3020133;3021874;3032992;3033278;3034992;3035033;3040777;3069388;3315367;3512851;3915869;4317734;4321607;4336861;4338590;4362722;4379437;6097029;6097046;6171779;6200607;6257111;6270264;6286802;6294485;6299008;6302211;6302998;6305965;6310868;6312932;6327896;7478993;7539425;7578409;7595866;7609060;7645249;7711142;7909160;8253211;8406584;8551562;8643618;8770413;8776749;8934767;8955096;9060683;9181103;9182722;9207237;9344920;9464576;9508046;9548400;9562889;9606710;9608542;9621022;9625263;9660177
encephalomyocarditis virus,Virus,pan troglodytes,Primate,3,0,4092555;46309082;46309096,NA
encephalomyocarditis virus,Virus,tamiasciurus hudsonicus,Rodent,1,0,3250792,NA
engyodontium album,Fungi,homo sapiens,Human,2,0,306811314;306811315,NA
entamoeba bovis,Protozoa,rangifer tarandus,Domestic,1,0,294338436,NA
entamoeba chattoni,Protozoa,homo sapiens,Human,0,6,NA,21484347;15706587;9025684;1287923;2136480;6283074
entamoeba coli,Protozoa,homo sapiens,Human,46,17,309242443;309242480;309242505;309242506;309242507;309242508;309242509;309242510;309242511;309242512;309242514;309242515;309242516;309242517;309242518;309242519;309242520;309242521;309242522;309242523;309242524;309242525;309242526;309242527;309242528;309242529;309242530;309242531;309242532;309242533;309242534;309242535;309242536;309242537;309242538;309242539;309242540;309242541;309242543;309242544;309242545;309242546;309242547;309242548;309242549;309242551,364674;1125888;1916531;3430662;6543421;7256354;8517484;9497539;9760061;15257226;17628910;18579170;19142433;19724700;19868092;20169364;21525226
entamoeba coli,Protozoa,pan troglodytes,Mammal,0,6,NA,24781023;22661394;20853397;20623606;10935902;558103
entamoeba dispar,Protozoa,homo sapiens,Human,14,12,13940246;13940247;13940248;13940249;13940250;300498524;300498525;300498526;300498527;300498531;300498532;300498533;300498534;300498535,8820737;10639057;11230821;15275293;16103593;17058306;19207103;19584941;20169364;20306672;21525226;22041740
entamoeba hartmanni,Protozoa,homo sapiens,Human,9,6,309242453;309242454;309242455;309242456;309242457;309242458;309242459;309242460;309242461,364674;3430662;7256354;13948419;17360882;21295520
entamoeba histolytica,Protozoa,homo sapiens,Human,64,290,405065;405069;405075;405077;405079;466357;498859;498861;571360;571362;571364;571366;665576;1513303;1865793;1865795;1865796;2190362;3392884;83016756;83016759;83016761;83016763;83016766;83016768;83016770;83016772;145698456;145698458;145698460;145698462;145698464;145698465;145698466;145698467;150408694;150408695;150408696;150408697;150408698;150408699;162285961;162285962;162285963;162285964;162285965;162285966;162285967;162285968;162285969;300498528;300498529;300498530;325651614;325651616;325651618;344190539;344190541;358001018;358001022;358001026;358001029;358001032;358001036,163062;178279;206979;207506;209678;211953;211969;219975;364674;842029;1287923;1322840;1340272;1340277;1340286;1428518;1523355;1545596;1557228;1677159;1693641;1696956;1772585;1776466;2067415;2136487;2136494;2136497;2136504;2205653;2280116;2437517;2460621;2482559;2547889;2550874;2553622;2557444;2580787;2584755;2861159;2866849;2869116;2872253;2874111;2884949;2884968;2884969;2888804;2890654;2892357;2897335;2897372;2900844;2903199;3183015;3183401;3430662;3701056;3956463;4132936;4169696;4313385;4349090;4349093;4353904;4363323;6087468;6151690;6247788;6258497;6258505;6269446;6276476;6305221;6324430;7233537;7256354;7477106;7512763;7581337;7581340;7590312;7657801;7682994;7716404;7720194;7828924;7919814;7955164;8239477;8284655;8300242;8341328;8432587;8438621;8459832;8481651;8496166;8773525
entamoeba histolytica,Protozoa,macaca mulatta,Primate,1,0,159798029,NA
entamoeba moshkovskii,Protozoa,homo sapiens,Human,3,4,150408700;150408701;150408702,1677159;7581337;20169364;22041740
entamoeba nuttalli,Protozoa,macaca mulatta,Primate,9,0,209365633;209365635;209365639;251752675;251752679;251752681;251752684;251752685;256631555,NA
entamoeba polecki,Protozoa,homo sapiens,Human,13,7,309242436;309242462;309242469;309242470;309242471;309242472;309242473;309242474;309242475;309242476;309242477;309242478;309242479,2778968;3430662;4097179;7406102;7460132;20169364;21295520
enterobacter aerogenes,Bacteria,homo sapiens,Human,7,25,264669621;324036027;324036035;324036043;353441942;354805802;354805806,2566468;6624739;10226534;12139018;14991251;16203120;16302091;17257839;18297685;19240073;20109237;21808577;20335785;20038697;18580265;17046191;14304302;14097440;10724024;10499145;9428540;7486916;2547159;1857197;390737
enterobacter amnigenus,Bacteria,canis lupus,Mammal,1,0,57337351,NA
enterobacter amnigenus,Bacteria,homo sapiens,Human,50,0,392313537;636468877;636468898;636468996;636469162;636469457;636469705;636470180;636470529;636470569;636470579;636470592;636472145;636473166;636473223;636473969;636474705;636474835;636475051;636475134;636475277;636475876;636475932;636475960;636476314;636476799;636476827;636477202;636477418;636478062;636478552;636478902;636479349;636479700;636480497;636480650;636480753;636480891;636481572;636481640;636481662;636485475;636485476;636485477;636485478;636485479;636485480;636485481;636485482;636485483,NA
enterobacter asburiae,Bacteria,homo sapiens,Human,12,1,55724926;55724928;55724930;55724932;55724934;55724936;55724938;55724940;306950620;323514490;323514492;323514494,3711302
enterobacter cancerogenus,Bacteria,homo sapiens,Human,2,2,285176645;285176646,3711302;17321737
enterobacter cloacae,Bacteria,canis lupus,Mammal,2,7,256576421;345541183,808525;6720166;6996543;9357525;18374521;18418993;20637130
enterobacter cloacae,Bacteria,homo sapiens,Human,101,55,33112004;55724978;55724980;55724982;55724984;55724986;56398672;56398674;56398680;56398684;56398688;56398696;56398698;56398700;56398704;56398706;56398710;56398716;56398718;56398720;56398748;56398750;56398752;56398754;56398756;56398770;56398772;56398774;56398780;56398784;56398786;56398790;56398800;56398814;56398816;56398818;56398822;56398828;56398830;56398832;56398834;56398842;56398854;56398860;56398862;56398868;56398874;56398878;56398880;56398882;56398884;56398886;56398892;56398896;56398902;56398908;56398912;56398914;56398916;56398920;56398922;56398932;56398934;56398940;56398946;56398950;56398952;261746140;308569743;308569744;312303499;312303501;312303502;312303504;312303506;312303508;312303510;312303511;312303513;312303515;312303516;312303518;312303519;315318901;321159238;322518462;322518471;322518473;324036009;324036011;324036015;324036023;324036031;324036039;324036047;324036050;324036053;345648638;367057598;371925327,174472;396292;1288965;1726210;1915384;2659570;3711302;6415153;6457177;6874903;8450277;8708743;8845223;9611357;10722486;10724024;10832651;11232764;11316370;12162573;15087403;15493821;16145549;16345206;17005820;18033780;18768875;19916054;20077366;20232222;20451600;21330416;21635911;21605475;20637130;20459698;20188200;19658320;19362435;19296598;18461517;17285581;16972629;15836522;12108001;12031410;9656677;8501580;7918745;7271270;6998258;5664112;3545730;1439958;1084486
enterobacter hormaechei,Bacteria,homo sapiens,Human,215,4,55724924;55724974;55724976;56398676;56398678;56398682;56398686;56398690;56398692;56398694;56398702;56398708;56398712;56398714;56398722;56398724;56398726;56398728;56398730;56398732;56398734;56398736;56398738;56398740;56398742;56398744;56398746;56398760;56398762;56398764;56398766;56398768;56398776;56398778;56398782;56398788;56398792;56398794;56398798;56398802;56398804;56398806;56398810;56398812;56398820;56398824;56398826;56398836;56398838;56398840;56398844;56398846;56398850;56398852;56398858;56398864;56398866;56398870;56398872;56398876;56398888;56398894;56398904;56398906;56398918;56398924;56398928;56398930;56398936;56398942;56398944;56398948;239911815;257441030;257441037;257441044;257441063;264669629;264669632;264669635;264669638;264669641;264669644;264669647;264669656;264669659;264669662;264669665;264669668;285183437;285183438;285183439;285183441;285183442;285183443;285183444;285183445;285183446;285183447;285183448,15039350;18211262;20451600;21330416
enterobacter kobei,Bacteria,homo sapiens,Human,10,2,55724942;55724944;55724946;55724948;55724950;55724952;55724954;55724956;55724958;328813922,19916054;21330416
enterobacter ludwigii,Bacteria,homo sapiens,Human,19,0,55724960;55724962;55724964;55724966;55724968;55724970;55724972;56398670;56398758;56398796;56398808;56398848;56398856;56398890;56398898;56398900;56398910;56398926;56398938,NA
enterobius anthropopitheci,Helminth,pan troglodytes,Primate,1,0,356483043,NA
enterobius gregorii,Helminth,homo sapiens,Human,0,6,NA,12940699;19667431;1420028;2626278;2690759;6416131
enterobius vermicularis,Helminth,homo sapiens,Human,5,29,110826493;350640512;356483039;356483040;356483041,364674;749147;1456465;1916531;4900959;5564587;7248224;7256354;7623572;7814280;8284655;8509624;9708211;9760061;12687766;12971480;16841687;17484764;17628910;18579170;18848867;18871429;19390733;19902679;20615381;21506807;21413317;21738278;22014000
enterobius vermicularis,Helminth,pan troglodytes,Primate,1,6,356483042,558103;12110054;12880239;16108565;16788831;17918364
enterococcus avium,Bacteria,homo sapiens,Human,1,1,328925433,9412874
enterococcus canis,Bacteria,canis lupus,Mammal,1,0,26513841,NA
enterococcus casseliflavus,Bacteria,homo sapiens,Human,283,5,285197696;285197698;285197700;285197702;285197704;285197706;285197708;285197710;285197712;285197714;285197716;285197718;285197720;285197722;285197724;285197726;285197728;285197730;285197732;285197734;285197736;285197738;285197740;285197742;285197744;285197746;285197748;285197750;285197752;285197754;285197756;285197758;285197760;285197762;285197764;285197766;285197768;285197770;285197772;285197774;285197776;285197778;285197780;285197782;285197784;285197786;285197788;285197790;285197792;285197794;285197796;285197798;285197800;285197802;285197804;285197806;285197808;285197810;285197812;285197814;285197816;285197818;285197820;285197822;285197824;285197827;285197829;285197831;285197833;285197836;285197838;285197839;285197841;285197843;285197845;285197847;285197849;285197851;285197853;285197855;285197857;285197859;285197861;285197863;285197865;285197867;285197869;285197871;285197873;285197875;285197877;285197879;285197881;285197883;285197885;285197887;285197889;285197891;285197893;285197894,12951241;15148842;17766449;19120623;20226556
enterococcus durans,Bacteria,canis lupus,Mammal,2,0,254971830;254971884,NA
enterococcus durans,Bacteria,homo sapiens,Human,1,7,353684678,1910140;2739584;15243122;17349085;19120623;19921457;21097601
enterococcus faecalis,Bacteria,anas platyrhynchos,Domestic,2,2,145411500;407353568,17543406;7659859
enterococcus faecalis,Bacteria,homo sapiens,Human,1131,282,51574083;82617074;197209611;197209616;197209617;197209618;197209622;197209635;197209645;197690596;197690600;197690602;215490329;215490331;222350150;223452085;223452086;223452087;223452088;285179449;285179451;285179453;285179455;285179457;285179461;285179465;285179467;285179470;285179471;285179472;285179477;285179479;285179482;285179483;285179484;285179485;285179486;285179487;285179488;285179489;285179490;285179491;285179492;285179493;285179494;285179495;285179497;285179499;285179501;285179505;285179509;285179513;285179517;285179519;285179521;285179523;285179525;285179527;285179540;285179542;285179546;285179550;285179552;285179553;285179554;285179555;285179556;285179557;285179565;285179567;285179569;285179571;285179573;285179575;285179577;285179579;285179581;285179583;285179585;285179587;285179589;285179605;285179607;285179609;285179611;285179613;285179615;285179617;285179619;285179620;285179621;285179622;285179623;285179624;285179625;285179626;285179627;285179628;285179629;285179630,92458;100003;107199;120220;169733;409673;414709;803287;823354;825471;828463;1513069;1716036;1759526;1889177;1910140;1937822;2129421;2548444;2739584;2875188;3102745;3114322;3127369;3155547;3178209;3849538;3926593;3932298;4204233;4212300;4214785;3917485;4630514;4631914;4632008;5002629;3897170;3866513;3108162;3100709;6415153;3010845;2938072;6441382;2883225;6773575;2166634;2108502;6803164;6874903;1638040;7439986;7512400;1399908;7667058;7691873;1168676;1068198;826261;826218;8031082;8111532;822604;8225616;809320;8350769;8540728;8681603;804017;9027908;412508;405403;9210662;9327249;9412874;9418188;9544775;404931;105057;10052892;10350116;101703;10530944;10531268;10546330;4216598;10775458;10832966;10863107;10934616;6120188;6186687;11283096;6234275;11390688;11485250;11504393;11535363;11535834
enterococcus faecium,Bacteria,homo sapiens,Human,2614,124,294619332;294622249;293556255;294616722;294619378;293567639;294619524;291593975;293550590;320152770;291607938;294613951;294615494;293573189;291606587;294615302;294616630;291602680;291593875;291594144;291591027;291592601;294623715;291604898;291594865;294623569;291589315;293570149;294619839;291598220;294620675;291600722;291602050;255684789;291588087;291591081;294619447;293556140;291608591;293571185;291609527;293567301;294622395;291587818;291589976;294618894;291593108;291594175;294617804;293569336;291604775;294617114;294619770;291597705;293572153;291598297;291602803;291602880;293572751;291587749;291604177;293562787;293563946;293569428;291604154;294617612;294617735;291595970;291598389;291588702;294620062;294621734;291593514;291593906;291596623;294620360;294615932;294616169;294621926;293570126;291599079;291600745;293569442;291604583;294616224;294623208;293559555;293563932;293556309;291607371;293572737;291587735;294618502;293556492;293572382;291589040;293559718;294620185;294622724;293563608,107199;413623;1487645;1638040;1910140;2447278;2659570;2739584;2788420;3986940;6424566;7340850;7648837;8370323;8596226;8849245;8917644;9036340;9412874;9567508;9756756;9988050;10052892;10863107;11083777;11163713;11375147;11535834;11642231;11814766;11841212;11843403;11856225;11872491;12071741;12151233;12183228;12183279;12477438;12748268;12807287;12865976;14576118;14596984;14616681;14616743;14750444;14999616;15130142;15135518;15184172;15472301;15527914;16189128;16258871;16359201;16911866;16954273;17046191;17166960;17203335;17328925;17351100;17446695;17650967;17766449;17954700;17957119;17998611;18079021;18370609;18461293;18487397;18508395;18634896;18707613;18783615;18830745;18844996;19120623;19162449;19187132;19457032;19473729;19233953;19516918;19921457;19957209;20051203;18983414;20163065;18384835;20422658;18354210;20668388;17002613;21502588;21602395;21676560;16997988
enterococcus gallinarum,Bacteria,homo sapiens,Human,0,8,NA,11158162;11319888;12951241;14519680;16407668;19120623;19395740;20464133
enterococcus gilvus,Bacteria,homo sapiens,Human,1,0,19908248,NA
enterococcus hawaiiensis,Bacteria,homo sapiens,Human,1,0,32967153,NA
enterococcus hirae,Bacteria,anas platyrhynchos,Domestic,1,0,109895370,NA
enterococcus hirae,Bacteria,canis lupus,Mammal,2,0,254971810;254971882,NA
enterococcus hirae,Bacteria,homo sapiens,Human,1,9,189345359,8589669;8682310;8973304;12767849;17766449;18361527;18305969;10873580;10639134
