"","ename","bcomp","genus","family","common","inames","log_base_cort","log_fledging_age_d","log_longevity","mig_disp","breed_lat","log_elevation_upper","swos","log_area","log_birth_or_hatching_weight_g","log_fmass","log_emass","incubation_d","winter_lat","log_ed_fair","s_mdist","pop_decreasing","litter_or_clutch_size_n","log_femalemat","ptaxa1","log_mass","litters_or_clutches_per_y","Diet.Seed","ForStrat.ground","passerine","ForStrat.midhigh","family_Turdidae","Diet.Inv","ForStrat.understory","Diet.Nect","diet_diversity","family_Fringillidae","family_Parulidae","ForStrat.canopy","Diet.PlantO","log_stress_cort","Diet.Fruit","pop_increasing","log_malemat","marine_system","pop_stable","freshwater_system","family_Emberizidae","foraging_diversity","mig_fullmigrant","mig_partialmigrant","Diet.Vect","family_Sylviidae","Diet.Vend","family_Paridae","mig_resident","family_Muscicapidae","IUCN_LC","Diet.Scav","unique_name"
"3387","Plocepasser superciliosus",NA,"Plocepasser","Passeridae","Chestnut-crowned Sparrow-Weaver","Plocepasser superciliosus",NA,NA,NA,0,9.8185712,NA,1,6.31443927828582,NA,NA,0.419955748489758,NA,9.8185712,-1.43085202299182,0,"0",2,NA,"0",1.56937390961505,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","1","0","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Plocepasser superciliosus"
"3388","Podoces biddulphi",NA,"Podoces","Corvidae","Biddulph's Ground Jay","Podoces biddulphi",NA,NA,NA,0,39.50281531,NA,1,5.62336121797219,NA,NA,NA,NA,39.50281531,-2.34085394551245,0,"1",2,NA,"0",NA,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","0",NA,"Podoces biddulphi"
"3389","Podoces hendersoni",NA,"Podoces","Corvidae","Henderson's Ground Jay","Podoces hendersoni",NA,NA,NA,0,44.50596479,3.47712125471966,0,6.25120284483572,NA,NA,0.740362689494244,NA,44.50596479,-2.34085394551245,0,"1",NA,NA,"0",2.08457627793433,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Podoces hendersoni"
"3390","Podoces panderi",NA,"Podoces","Corvidae","Pander's Ground Jay","Podoces panderi",NA,NA,NA,0,41.08329341,NA,1,5.46451337979273,NA,NA,0.7481880270062,17.5,41.08329341,-2.34085394551245,0,"1",4.75,NA,"0",1.95927995013094,1,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Podoces panderi"
"3391","Podoces pleskei",NA,"Podoces","Corvidae","Pleske's Ground Jay","Podoces pleskei",NA,NA,NA,0,32.04621161,NA,1,5.34225976199639,NA,NA,NA,NA,32.04621161,-2.34085394551245,0,"0",NA,NA,"0",1.94816836172713,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","1","0","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Podoces pleskei"
"3392","Poecile atricapillus",0,"Poecile","Paridae","Black-capped Chickadee","Poecile atricapillus",NA,1.21748394421391,1.09400502248124,0,50.28492675,3.50514997831991,17.5783958312469,6.95801477610623,0,1.05307844348342,0.0644579892269184,12,50.28492675,-2.41534412973718,0,"0",6.95,2.43414398176926,"0",1.03342375548695,1,20,0,"1",80,"0",60,20,0,3,"0","0",0,0,NA,20,"1",2.25527250510331,"0","0","0","0",2,"0","0",0,"0",0,"1","1","0","1",0,"Poecile atricapillus"
"3393","Poecile carolinensis",NA,"Poecile","Paridae","Carolina Chickadee","Poecile carolinensis",NA,1.22271647114758,1.03809004974075,0,34.89736971,3.26717172840301,10,6.36411827213983,NA,NA,0.00860017176191757,13,34.89736971,-2.41534412973718,0,"0",6,2.56138048325787,"0",1.01072386539177,1,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",2.56229286445647,"0","1","1","0",NA,"0","0",NA,"0",NA,"1","1","0","1",NA,"Poecile carolinensis"
"3394","Poecile cinctus",NA,"Poecile","Paridae","Grey-headed Chickadee","Poecile cinctus",NA,1.27875360095283,0.954242509439325,0,63.31923999,NA,2.44948974278318,7.03346387014241,0,NA,0.117271295655764,14.75,63.31923999,-2.40033562852126,0,"1",8,2.56229286445647,"0",1.08902150079501,1.25,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",2.56229286445647,"0","0","0","0",NA,"0","0",NA,"0",NA,"1","1","0","1",NA,"Poecile cinctus"
"3395","Poecile davidi",NA,"Poecile","Paridae","Pere David's Tit","Poecile davidi",NA,NA,NA,0,32.22379536,3.53147891704225,0,4.7543839367647,NA,NA,NA,NA,32.22379536,-2.36741466921697,0,"1",NA,NA,"0",1.05690485133647,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"1","1","0","1",NA,"Poecile davidi"
"3396","Poecile gambeli",NA,"Poecile","Paridae","Mountain Chickadee","Poecile gambeli",NA,1.30102999566398,1.00432137378264,0,44.61710427,3.56348108539441,8.71779788708135,6.43314945912625,0,NA,0.105510184769974,14,44.61710427,-2.41534412973718,0,"0",7.03,2.56138048325787,"0",1.06139592664465,1.5,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",2.56229286445647,"0","1","0","0",NA,"0","0",NA,"0",NA,"1","1","0","1",NA,"Poecile gambeli"
