"","ename","bcomp","genus","family","common","inames","log_base_cort","log_fledging_age_d","log_longevity","mig_disp","breed_lat","log_elevation_upper","swos","log_area","log_birth_or_hatching_weight_g","log_fmass","log_emass","incubation_d","winter_lat","log_ed_fair","s_mdist","pop_decreasing","litter_or_clutch_size_n","log_femalemat","ptaxa1","log_mass","litters_or_clutches_per_y","Diet.Seed","ForStrat.ground","passerine","ForStrat.midhigh","family_Turdidae","Diet.Inv","ForStrat.understory","Diet.Nect","diet_diversity","family_Fringillidae","family_Parulidae","ForStrat.canopy","Diet.PlantO","log_stress_cort","Diet.Fruit","pop_increasing","log_malemat","marine_system","pop_stable","freshwater_system","family_Emberizidae","foraging_diversity","mig_fullmigrant","mig_partialmigrant","Diet.Vect","family_Sylviidae","Diet.Vend","family_Paridae","mig_resident","family_Muscicapidae","IUCN_LC","Diet.Scav","unique_name"
"1","Abroscopus albogularis",NA,"Abroscopus","Cettiidae","Rufous-faced Warbler","Abroscopus albogularis",NA,NA,NA,0,24.79285136,3.07918124604762,NA,6.23163537544184,NA,NA,NA,NA,24.79285136,-2.44929697436525,0,"0",3.9,NA,"0",NA,NA,0,0,"1",0,"0",100,100,0,1,"0","0",0,0,NA,0,"0",NA,"0","1","0","0",1,"0","0",0,"0",0,"0","1","0","1",0,"Abroscopus albogularis"
"2","Abroscopus schisticeps",NA,"Abroscopus","Cettiidae","Black-faced Warbler","Abroscopus schisticeps",NA,NA,NA,0,26.70051346,NA,NA,5.95866756890562,NA,NA,NA,NA,26.70051346,-2.44929697436525,0,"0",4.5,NA,"0",0.685741738602264,NA,0,0,"1",0,"0",100,0,0,1,"0","0",100,0,NA,0,"0",NA,"0","1","0","0",1,"0","0",0,"0",0,"0","1","0","1",0,"Abroscopus schisticeps"
"3","Abroscopus superciliaris",NA,"Abroscopus","Cettiidae","Yellow-bellied Warbler","Abroscopus superciliaris",NA,NA,NA,0,10.580018,3.35888620440587,NA,6.39679839609858,NA,NA,NA,NA,10.580018,-2.43536904153227,0,"0",3.2,NA,"0",0.812913356642856,NA,0,0,"1",0,"0",100,80,0,1,"0","0",20,0,NA,0,"0",NA,"0","1","0","0",2,"0","0",0,"0",0,"0","1","0","1",0,"Abroscopus superciliaris"
"4","Acanthidops bairdi",NA,"Acanthidops","Thraupidae","Peg-billed Finch","Acanthidops bairdi",NA,NA,NA,0,9.56458404,3.47712125471966,NA,3.67607863123643,NA,NA,NA,NA,9.56458404,-2.53600896349901,0,"1",NA,NA,"0",1.20411998265592,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Acanthidops bairdi"
"5","Acanthis cabaret",0,"Acanthis","Maluridae",NA,"Acanthis cabaret",NA,NA,NA,NA,NA,NA,7.34846922834953,NA,NA,NA,NA,NA,NA,-2.50987654618844,NA,NA,NA,NA,"0",1.10037054511756,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,"0",NA,"0",NA,NA,"Acanthis cabaret"
"6","Acanthis flammea",0,"Acanthis","Fringillidae","Common Redpoll","Acanthis flammea",NA,1.07918124604762,1.39794000867204,0.0363921538126874,64.67550049,NA,3.3166247903554,7.6282034393519,0.113943352306837,0.963787827345555,0.146128035678238,10.5,55.489760785,-2.49390169200772,46.1583681194355,"1",5,2.56138048325787,"0",1.11394335230684,1.75,40,100,"1",0,"0",30,0,0,3,"1","0",0,30,NA,0,"0",2.56229286445647,"0","0","0","0",1,"0","1",0,"0",0,"0","0","0","1",0,"Acanthis flammea"
"7","Acanthis hornemanni",NA,"Acanthis","Fringillidae","Arctic Redpoll","Acanthis hornemanni",NA,1.11394335230684,0.832508912706236,NA,NA,NA,0,NA,0.113943352306837,2.67669360962487,0.161368002234975,12.35,NA,-2.50987654618844,NA,NA,4.5,2.56229286445647,"0",1.15533603746506,1,NA,NA,"1",NA,"0",NA,NA,NA,NA,"1","0",NA,NA,NA,NA,NA,2.56229286445647,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,"0",NA,"0",NA,NA,"Acanthis hornemanni"
"8","Acridotheres albocinctus",NA,"Acridotheres","Sturnidae","Collared Myna","Acridotheres albocinctus",NA,NA,NA,0,23.36901196,3.07918124604762,0,5.51615520744354,NA,NA,NA,NA,23.36901196,-2.50762532203595,0,"0",4,NA,"0",NA,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Acridotheres albocinctus"
"9","Acridotheres cinereus",NA,"Acridotheres","Sturnidae","Pale-bellied Myna","Acridotheres cinereus",NA,NA,NA,0,-6.45377756,3.17609125905568,0,4.54398630311082,NA,NA,0.829303772831025,NA,-6.45377756,-2.52412290296609,0,"1",4.2,NA,"0",1.92941892571429,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","0",NA,"Acridotheres cinereus"
"10","Acridotheres cristatellus",NA,"Acridotheres","Sturnidae","Crested Myna","Acridotheres cristatellus",NA,1.38916608436453,1.11394335230684,0,26.1788305,NA,1.73205080756888,6.50864073527967,0.770852011642144,1.89209460269048,0.877946951629188,15,26.1788305,-2.52412290296609,0,"0",4.25,NA,"0",2.06632592536204,1,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","1","0","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Acridotheres cristatellus"
"11","Acridotheres fuscus",NA,"Acridotheres","Sturnidae","Jungle Myna","Acridotheres fuscus",NA,NA,NA,0,21.73835861,NA,2,6.38430303575267,NA,NA,0.829303772831025,NA,21.73835861,-2.50762532203595,0,"1",4.2,NA,"0",1.92941892571429,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Acridotheres fuscus"
"12","Acridotheres ginginianus",NA,"Acridotheres","Sturnidae","Bank Myna","Acridotheres ginginianus",NA,NA,NA,0,25.77334485,NA,2,6.20624658430201,NA,NA,NA,NA,25.77334485,-2.47496659288664,0,"0",4.9,NA,"0",1.85125834871908,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"1",NA,"0","0","1","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Acridotheres ginginianus"
"13","Acridotheres grandis",NA,"Acridotheres","Sturnidae","Great Myna","Acridotheres grandis",NA,NA,NA,0,17.78411807,NA,1.4142135623731,6.23226929199152,NA,NA,NA,NA,17.78411807,-2.52412290296609,0,"0",4.9,NA,"0",1.99563519459755,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","1","1","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Acridotheres grandis"
"14","Acridotheres javanicus",NA,"Acridotheres","Sturnidae","Javan Myna","Acridotheres javanicus",NA,NA,NA,0,-7.34556813,NA,2.64575131106459,5.11669484202891,NA,NA,0.829303772831025,NA,-7.34556813,-2.52412290296609,0,"1",4.2,NA,"0",1.92941892571429,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","1","0",NA,"0","0",NA,"0",NA,"0","1","0","0",NA,"Acridotheres javanicus"
"15","Acridotheres melanopterus",NA,"Acridotheres","Sturnidae","Black-winged Starling","Acridotheres melanopterus",NA,NA,NA,0,-7.10317498,3.38021124171161,1.73205080756888,4.7242975563371,NA,NA,NA,NA,-7.10317498,-2.4244012586842,0,"1",3.5,NA,"0",NA,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","0",NA,"Acridotheres melanopterus"
"16","Acridotheres tristis",NA,"Acridotheres","Sturnidae","Common Myna","Acridotheres tristis",NA,1.36172783601759,0.784141614049034,0,19.62593849,NA,12.4899959967968,7.00082714779213,NA,NA,0.851258348719075,17.5,19.62593849,-2.47496659288664,0,"0",4.5,2.56046618126061,"0",2.05499586152914,3,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"1",NA,"0","0","0","0",NA,"0","0",NA,"0",NA,"0","1","0","1",NA,"Acridotheres tristis"
"17","Acrobatornis fonsecai",NA,"Acrobatornis","Furnariidae","Pink-legged Graveteiro","Acrobatornis fonsecai",NA,NA,NA,0,-15.41659571,2.74036268949424,1.4142135623731,3.56697257986957,NA,NA,NA,NA,-15.41659571,-2.38397448632945,0,"1",NA,NA,"0",1.13353890837022,NA,0,0,"1",40,"0",100,0,0,1,"0","0",60,0,NA,0,"0",NA,"0","0","0","0",2,"0","0",0,"0",0,"0","1","0","0",0,"Acrobatornis fonsecai"
"18","Acrocephalus aedon",NA,"Acrocephalus","Acrocephalidae","Thick-billed Warbler","Acrocephalus aedon",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.46908529912312,NA,NA,-1.16939513068356,NA,NA,5.2,NA,"0",1.35602585719312,NA,0,0,"1",50,"0",100,50,0,1,"0","0",0,0,NA,0,NA,NA,NA,NA,NA,"0",2,NA,NA,0,"0",0,"0",NA,"0",NA,0,"Arundinax aedon"
"19","Acrocephalus aequinoctialis",NA,"Acrocephalus","Acrocephalidae","Bokikokiko","Acrocephalus aequinoctialis",NA,NA,NA,0,2.07036513,1.30102999566398,1.73205080756888,2.70088052627274,NA,NA,NA,NA,2.07036513,-2.44988341788126,0,"1",NA,NA,"0",1.39794000867204,NA,0,50,"1",0,"0",80,50,0,2,"0","0",0,0,NA,0,"0",NA,"0","0","0","0",2,"0","0",20,"0",0,"0","1","0","0",0,"Acrocephalus aequinoctialis"
"20","Acrocephalus agricola",NA,"Acrocephalus","Acrocephalidae","Paddyfield Warbler","Acrocephalus agricola",NA,NA,NA,-0.102990380436986,46.50399593,NA,2.44948974278318,6.89557904077601,NA,NA,0.167317334748176,NA,23.33491516,-2.45604073363968,51.9365446801692,"1",4.5,NA,"0",0.980003371583746,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","1","0",NA,"1","0",NA,"0",NA,"0","0","0","1",NA,"Acrocephalus agricola"
"21","Acrocephalus arundinaceus",0,"Acrocephalus","Acrocephalidae","Great Reed Warbler","Acrocephalus arundinaceus",NA,1.20411998265592,1.00360412412526,0.0202895955584764,49.49109686,NA,19.6468827043885,7.55942102548334,0.357934847000454,NA,0.4983105537896,14.5,-4.09272442,-2.28441160342379,80.5910846502205,"1",4.2,2.56138048325787,"0",1.47964727876939,1.5,0,20,"1",0,"0",70,60,0,3,"0","0",0,0,NA,10,"0",2.56229286445647,"0","0","1","0",3,"1","0",20,"0",0,"0","0","0","1",0,"Acrocephalus arundinaceus"
"22","Acrocephalus astrolabii",NA,"Acrocephalus","Acrocephalidae","Mangareva Reed Warbler","Acrocephalus astrolabii",NA,NA,NA,0,-23.10974076,2.69897000433602,0,1.19657727611139,NA,NA,NA,NA,-23.10974076,-2.44008001216546,0,NA,NA,NA,"0",1.50819292602544,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,"0",NA,"1","0",NA,"0","0",NA,"0",NA,"0","1","0","0",NA,"Acrocephalus luscinius astrolabii"
"23","Acrocephalus atyphus",NA,"Acrocephalus","Sylviidae","Tuamotu Reed-warbler","Acrocephalus atyphus",NA,NA,NA,0,-16.60640774,NA,1.73205080756888,2.78615288714479,NA,NA,NA,NA,-16.60640774,-2.48574366867323,0,"0",NA,NA,"0",NA,NA,0,50,"1",0,"0",70,50,0,3,"0","0",0,10,NA,0,"0",NA,"0","1","0","0",2,"0","0",20,"1",0,"0","1","0","1",0,"Acrocephalus atyphus"
"24","Acrocephalus australis",NA,"Acrocephalus","Acrocephalidae","Australian Reed Warbler","Acrocephalus australis",NA,NA,1.02530586526477,0,-21.34667674,NA,2.44948974278318,6.72946626419643,NA,NA,0.407390904470732,NA,-21.34667674,-2.44988341788126,0,"0",4.2,NA,"0",1.38381536598043,NA,0,0,"1",50,"0",100,50,0,1,"0","0",0,0,NA,0,"0",NA,"0","1","1","0",2,"0","0",0,"0",0,"0","1","0","1",0,"Acrocephalus australis"
"25","Acrocephalus baeticatus",NA,"Acrocephalus","Acrocephalidae","African Reed Warbler","Acrocephalus baeticatus",NA,NA,NA,NA,NA,NA,2.82842712474619,NA,NA,NA,0.198657086954423,NA,NA,-2.47815719092565,NA,NA,2.55,NA,"0",1.00860017176192,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,"0",NA,"0",NA,NA,"Acrocephalus baeticatus"
"26","Acrocephalus bistrigiceps",NA,"Acrocephalus","Acrocephalidae","Black-browed Reed Warbler","Acrocephalus bistrigiceps",NA,NA,NA,-0.0455491079813798,43.82037056,NA,3.46410161513775,6.79609152200292,NA,NA,0.123851640967086,NA,17.40779441,-2.40833483416593,60.9796125639954,"0",4.9,NA,"0",0.929418925714293,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","1","1","0",NA,"1","0",NA,"0",NA,"0","0","0","1",NA,"Acrocephalus bistrigiceps"
"27","Acrocephalus brevipennis",NA,"Acrocephalus","Acrocephalidae","Cape Verde Warbler","Acrocephalus brevipennis",NA,NA,NA,0,15.16543508,3.14113609012074,2,3.1426988020081,NA,NA,NA,NA,15.16543508,-2.46465592898309,0,"0",2.5,NA,"0",1.21085336531489,NA,0,0,"1",80,"0",90,20,0,2,"0","0",0,0,NA,10,"0",NA,"0","0","1","0",2,"0","0",0,"0",0,"0","1","0","0",0,"Acrocephalus brevipennis"
"28","Acrocephalus caffer",NA,"Acrocephalus","Sylviidae","Tahiti Reed-warbler","Acrocephalus caffer",NA,NA,NA,0,-17.65190514,3.23044892137827,1.73205080756888,2.42647836854759,NA,NA,NA,NA,-17.65190514,-2.46569020664158,0,"1",NA,NA,"0",NA,NA,0,0,"1",0,"0",70,0,10,4,"0","0",100,0,NA,0,"0",NA,"0","0","0","0",1,"0","0",10,"1",0,"0","1","0","0",0,"Acrocephalus caffer"
"29","Acrocephalus concinens",NA,"Acrocephalus","Acrocephalidae","Blunt-winged Warbler","Acrocephalus concinens",NA,NA,NA,-0.0558093562213566,30.32044143,NA,0,6.62785850223737,NA,NA,NA,NA,23.056904755,-2.47065919721833,42.1053231699727,"0",3.5,NA,"0",0.919078092376074,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","1","1","0",NA,"0","1",NA,"0",NA,"0","0","0","1",NA,"Acrocephalus concinens"
"30","Acrocephalus dumetorum",NA,"Acrocephalus","Acrocephalidae","Blyth's Reed Warbler","Acrocephalus dumetorum",NA,1.04139268515823,0.89209460269048,-0.0990876132692931,55.03933996,3.07918124604762,4,6.84369616348958,NA,NA,0.225309281725863,NA,20.40445134,-2.44422366326367,64.6593748766564,"0",4.2,NA,"0",1.06164093406169,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"1",NA,"0","0","1","0",NA,"1","0",NA,"0",NA,"0","0","0","1",NA,"Acrocephalus dumetorum"
"31","Acrocephalus familiaris",NA,"Acrocephalus","Acrocephalidae","Millerbird","Acrocephalus familiaris",NA,NA,0.698970004336019,0,25.03696974,NA,2.23606797749979,0.754594836827882,NA,1.21748394421391,NA,NA,25.03696974,-2.34048891921312,0,"0",NA,NA,"0",1.26126286879249,NA,10,50,"1",0,"0",90,50,0,2,"0","0",0,0,NA,0,"0",NA,"0","1","0","0",2,"0","0",0,"0",0,"0","1","0","0",0,"Acrocephalus familiaris"
"32","Acrocephalus gracilirostris",NA,"Acrocephalus","Acrocephalidae","Lesser Swamp Warbler","Acrocephalus gracilirostris",NA,NA,NA,0,-14.44193711,NA,0,6.68214327076166,NA,NA,0.328379603438738,NA,-14.44193711,-2.4502348516793,0,"0",2.35,NA,"0",1.15836249209525,NA,0,20,"1",0,"0",80,60,0,2,"0","0",0,0,NA,0,"0",NA,"1","1","1","0",3,"0","0",20,"0",0,"0","1","0","1",0,"Acrocephalus gracilirostris"
"33","Acrocephalus griseldis",NA,"Acrocephalus","Acrocephalidae","Basra Reed Warbler","Acrocephalus griseldis",NA,1.20411998265592,1.00360412412526,0.0486038634521316,31.95307183,NA,2.64575131106459,5.77231844981325,0.357934847000454,NA,0.4983105537896,14.5,-6.68899763,-2.18822894471697,65.9459062667098,"0",4.2,2.56138048325787,"0",1.47712125471966,1.5,0,20,"1",30,"0",70,30,0,3,"0","0",0,0,NA,10,"0",2.56229286445647,"0","1","1","0",4,"1","0",20,"0",0,"0","0","0","0",0,"Acrocephalus griseldis"
"34","Acrocephalus hiwae",NA,"Acrocephalus","Acrocephalidae","Saipan Reed Warbler","Acrocephalus hiwae",NA,NA,NA,0,15.34461998,2.69897000433602,1.4142135623731,2.13003370586368,NA,NA,NA,NA,15.34461998,-2.36498025494725,0,"1",NA,NA,"0",1.50819292602544,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","1","0",NA,"0","0",NA,"0",NA,"0","1","0","0",NA,"Acrocephalus hiwae"
"35","Acrocephalus kerearako",NA,"Acrocephalus","Acrocephalidae","Cook Reed Warbler","Acrocephalus kerearako",NA,NA,NA,0,-21.34149012,NA,0,1.84165632336874,NA,NA,NA,NA,-21.34149012,-2.48064282793033,0,"1",NA,NA,"0",1.35362775898554,NA,0,20,"1",40,"0",100,40,0,1,"0","0",0,0,NA,0,"0",NA,"0","0","1","0",3,"0","0",0,"0",0,"0","1","0","0",0,"Acrocephalus kerearako"
"36","Acrocephalus luscinius",NA,"Acrocephalus","Acrocephalidae","Nightingale Reed Warbler","Acrocephalus luscinius",NA,NA,NA,0,13.44021745,2.69897000433602,1.4142135623731,2.74657057653093,NA,NA,NA,NA,13.44021745,NA,0,NA,NA,NA,"0",1.50819292602544,NA,0,80,"1",0,"0",80,20,0,2,"0","0",0,0,NA,0,NA,NA,"0",NA,"1","0",2,"0","0",20,"0",0,"0","1","0","0",0,NA
"37","Acrocephalus melanopogon",NA,"Acrocephalus","Acrocephalidae","Moustached Warbler","Acrocephalus melanopogon",NA,NA,1.05115252244738,-0.0213273740452671,39.919131085,NA,5.09901951359278,6.54487323070592,NA,NA,0.204119982655925,NA,34.134434775,-2.42140942162075,36.6722033610882,"0",4,2.56229286445647,"0",1.04139268515823,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",2.56229286445647,"0","1","1","0",NA,"0","1",NA,"0",NA,"0","0","0","1",NA,"Acrocephalus melanopogon"
"38","Acrocephalus mendanae",NA,"Acrocephalus","Sylviidae","Marquesan Reed-warbler","Acrocephalus mendanae",NA,NA,NA,0,-9.83021458,NA,1,2.77339645727305,NA,NA,NA,NA,-9.83021458,-2.40200513088233,0,"0",NA,NA,"0",NA,NA,10,50,"1",0,"0",60,50,10,5,"0","0",0,0,NA,10,"0",NA,"0","1","0","0",2,"0","0",10,"1",0,"0","1","0","1",0,"Acrocephalus mendanae"
"39","Acrocephalus newtoni",NA,"Acrocephalus","Acrocephalidae","Madagascan Swamp Warbler","Acrocephalus newtoni",NA,NA,NA,0,-19.3822925,NA,1,5.77167602552835,NA,NA,NA,NA,-19.3822925,-2.45498886838994,0,"0",3,NA,"0",1.23678909940929,NA,0,0,"1",0,"0",100,100,0,1,"0","0",0,0,NA,0,"0",NA,"0","1","1","0",1,"0","0",0,"0",0,"0","1","0","1",0,"Acrocephalus newtoni"
"40","Acrocephalus nijoi",NA,"Acrocephalus","Acrocephalidae","Aguiguan Reed Warbler","Acrocephalus nijoi",NA,NA,NA,0,14.85245247,2.69897000433602,0,0.878121696444306,NA,NA,NA,NA,14.85245247,-2.44008001216546,0,NA,NA,NA,"0",1.50819292602544,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,"0",NA,"1","0",NA,"0","0",NA,"0",NA,"0","1","0","0",NA,"Acrocephalus luscinius nijoi"
"41","Acrocephalus orientalis",NA,"Acrocephalus","Acrocephalidae","Oriental Reed Warbler","Acrocephalus orientalis",NA,NA,NA,-0.0289709218780028,43.40634234,3,4.89897948556636,6.93919373179756,NA,NA,NA,NA,8.52845307,-2.41742720939768,64.052205192188,"1",NA,NA,"0",1.40654018043396,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","1","0",NA,"1","0",NA,"0",NA,"0","0","0","1",NA,"Acrocephalus orientalis"
"42","Acrocephalus paludicola",NA,"Acrocephalus","Acrocephalidae","Aquatic Warbler","Acrocephalus paludicola",NA,NA,NA,-0.142595803484232,55.74354185,2.30102999566398,9.1104335791443,6.96284617874562,NA,NA,0.173186268412274,NA,15.59969696,-2.42140942162075,87.9429625161887,"1",4.935,NA,"0",1.08098704691089,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","1","0",NA,"1","0",NA,"0",NA,"0","0","0","0",NA,"Acrocephalus paludicola"
"43","Acrocephalus palustris",0,"Acrocephalus","Acrocephalidae","Marsh Warbler","Acrocephalus palustris",NA,1.07918124604762,0.991226075692495,-0.0626135898630089,52.0168974,NA,7.54983443527075,7.09574989112269,NA,NA,0.267171728403014,11.5,-18.24747552,-2.46328846067861,88.2247788766345,"0",4.41,2.56138048325787,"0",1.07918124604762,1,0,0,"1",50,"0",80,50,0,2,"0","0",0,0,NA,20,"0",2.56229286445647,"0","1","1","0",2,"1","0",0,"0",0,"0","0","0","1",0,"Acrocephalus palustris"
"44","Acrocephalus rehsei",NA,"Acrocephalus","Acrocephalidae","Nauru Reed Warbler","Acrocephalus rehsei",NA,NA,NA,0,-0.52868492,NA,0,1.262399081341,NA,NA,NA,NA,-0.52868492,-2.19274331757134,0,"0",NA,NA,"0",1.50819292602544,NA,0,0,"1",0,"0",100,0,0,1,"0","0",100,0,NA,0,"0",NA,"0","1","0","0",1,"0","0",0,"0",0,"0","1","0","0",0,"Acrocephalus rehsei"
"45","Acrocephalus rimatarae",NA,"Acrocephalus","Sylviidae","Rimatara Reed-warbler","Acrocephalus rimatarae",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-2.48064282793033,NA,NA,NA,NA,"0",NA,NA,0,20,"1",20,"0",90,30,0,2,"0","0",30,0,NA,0,NA,NA,NA,NA,NA,"0",4,NA,NA,10,"1",0,"0",NA,"0",NA,0,"Acrocephalus rimitarae"
"46","Acrocephalus rimitarae",NA,"Acrocephalus","Acrocephalidae","Rimatara Reed Warbler","Acrocephalus rimitarae",NA,NA,NA,0,-22.64934635,NA,0,0.835330470177998,NA,NA,NA,NA,-22.64934635,-2.48064282793033,0,"1",NA,NA,"0",1.41912930774198,NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",NA,"0","0","1","0",NA,"0","0",NA,"0",NA,"0","1","0","0",NA,"Acrocephalus rimitarae"
"47","Acrocephalus rodericanus",NA,"Acrocephalus","Acrocephalidae","Rodrigues Warbler","Acrocephalus rodericanus",NA,NA,NA,0,-19.71242082,2.5910646070265,1.4142135623731,2.04525984884822,NA,NA,NA,NA,-19.71242082,-2.19274331757134,0,"0",NA,NA,"0",1.07188200730613,NA,0,0,"1",20,"0",100,0,0,1,"0","0",80,0,NA,0,"1",NA,"0","0","0","0",2,"0","0",0,"0",0,"0","1","0","0",0,"Acrocephalus rodericanus"
"48","Acrocephalus rufescens",NA,"Acrocephalus","Acrocephalidae","Greater Swamp Warbler","Acrocephalus rufescens",NA,NA,NA,0,1.25947132,NA,1.4142135623731,6.14615752708156,NA,NA,0.346352974450639,NA,1.25947132,-2.46465592898309,0,"0",2.45,NA,"0",1.33344727449675,NA,0,40,"1",0,"0",80,40,0,2,"0","0",0,0,NA,0,"0",NA,"0","1","1","0",3,"0","0",20,"0",0,"0","1","0","1",0,"Acrocephalus rufescens"
"49","Acrocephalus schoenobaenus",NA,"Acrocephalus","Acrocephalidae","Sedge Warbler","Acrocephalus schoenobaenus",NA,1.13033376849501,1.0731070982131,0.0183707421162295,56.14344706,NA,11.13552872566,7.5927241290349,NA,NA,0.217483944213906,13.5,-0.80499936,-2.39149268349309,82.5110195366427,"0",5.5,2.56138048325787,"0",1.07554696139253,1.5,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",2.56229286445647,"0","1","1","0",NA,"1","0",NA,"0",NA,"0","0","0","1",NA,"Acrocephalus schoenobaenus"
"50","Acrocephalus scirpaceus",1,"Acrocephalus","Acrocephalidae","Eurasian Reed Warbler","Acrocephalus scirpaceus",NA,1.07918124604762,1.14612803567824,-0.00396542143874993,16.608244,3.14612803567824,17.6918060129541,7.53051214265813,NA,NA,0.222716471147583,11.5,-3.556767465,-2.47815719092565,70.5502368872278,"0",3.9,2.56138048325787,"0",1.07188200730613,1.5,NA,NA,"1",NA,"0",NA,NA,NA,NA,"0","0",NA,NA,NA,NA,"0",2.56229286445647,"0","1","1","0",NA,"0","1",NA,"0",NA,"0","0","0","1",NA,"Acrocephalus scirpaceus"
"51","Acrocephalus sechellensis",NA,"Acrocephalus","Acrocephalidae","Seychelles Warbler","Acrocephalus sechellensis",NA,NA,1.14612803567824,0,-4.27495258,NA,10.7238052947636,0.821692702963077,NA,NA,NA,NA,-4.27495258,-2.45498886838994,0,"0",NA,NA,"0",1.20139712432045,NA,0,0,"1",40,"0",90,30,0,2,"0","0",30,0,NA,0,"1",NA,"0","0","0","0",3,"0","0",10,"0",0,"0","1","0","0",0,"Acrocephalus sechellensis"
"52","Acrocephalus stentoreus",NA,"Acrocephalus","Acrocephalidae","Clamorous Reed Warbler","Acrocephalus stentoreus",NA,NA,1.02530586526477,0.0170674186714159,32.076394485,3.47712125471966,2.64575131106459,6.92650430726502,NA,NA,0.407390904470732,NA,24.296650025,-2.41742720939768,46.275373956816,"0",4.2,NA,"0",1.38381536598043,NA,10,20,"1",0,"0",80,60,0,3,"0","0",0,0,NA,0,"0",NA,"0","1","1","0",3,"0","1",10,"0",0,"0","0","0","1",0,"Acrocephalus stentoreus"
"53","Acrocephalus syrinx",NA,"Acrocephalus","Acrocephalidae","Carolinian Reed Warbler","Acrocephalus syrinx",NA,NA,NA,0,6.65261166,NA,0,2.76180286116162,NA,NA,NA,NA,6.65261166,-2.34504665898156,0,"0",NA,NA,"0",1.50819292602544,NA,0,60,"1",0,"0",90,20,0,2,"0","0",20,0,NA,0,"0",NA,"0","1","0","0",3,"0","0",10,"0",0,"0","1","0","1",0,"Acrocephalus syrinx"
"54","Acrocephalus taiti",NA,"Acrocephalus","Acrocephalidae","Henderson Reed Warbler","Acrocephalus taiti",NA,NA,NA,0,-24.36358478,NA,1.4142135623731,1.61396898388901,NA,NA,NA,NA,-24.36358478,-2.50141581376902,0,"0",NA,NA,"0",1.38738982633873,NA,10,25,"1",25,"0",80,25,0,3,"0","0",25,0,NA,10,"0",NA,"0","1","0","0",4,"0","0",0,"0",0,"0","1","0","0",0,"Acrocephalus taiti"
